Part Type,Part Number,Schematic Part,Part Value,Current Rating (Amps),Current - Saturation,DC Resistance (DCR),Frequency - Self Resonant,Inductance Frequency - Test,Q @ Freq,Inductance,Tolerance,Voltage,Material - Core,Allegro PCB Footprint,Package / Case,Pspice Model,Power,Availability,Data Sheet,Description,Mounting Type,Height - Seated (Max),Size,Number of Pins,Operating Temperature,Distributor Part Number,Manufacturer,Manufacturer Part Number,Price,ActivepartsID
INDUCTOR POWER,SRR1280-270M,inductors\Inductor,27uH,3.9A,3.7A,52mOhm Max,10MHz,100kHz,26 @ 2.52MHz,27uH,±20%,,Ferrite,,Nonstandard,L,,,https://www.bourns.com/docs/Product-Datasheets/SRR1280.pdf,FIXED IND 27UH 3.9A 52 MOHM SMD,Surface Mount,0.315 (8.00mm),0.492 L x 0.492 W (12.50mm x 12.50mm),2,-40°C ~ 125°C,,Bourns Inc.,,,
INDUCTOR POWER,SRR1280-390M,inductors\Inductor,39uH,3.2A,3.1A,70mOhm Max,8.5MHz,100kHz,24 @ 2.52MHz,39uH,±20%,,Ferrite,,Nonstandard,L,,,https://www.bourns.com/docs/Product-Datasheets/SRR1280.pdf,FIXED IND 39UH 3.2A 70 MOHM SMD,Surface Mount,0.315 (8.00mm),0.492 L x 0.492 W (12.50mm x 12.50mm),2,-40°C ~ 125°C,,Bourns Inc.,,,
INDUCTOR POWER,SRR1280-821K,inductors\Inductor,820uH,700mA,940mA,1.5Ohm Max,1.4MHz,100kHz,20 @ 796kHz,820uH,±10%,,Ferrite,,Nonstandard,L,,,https://www.bourns.com/docs/Product-Datasheets/SRR1280.pdf,FIXED IND 820UH 700MA 1.5OHM SMD,Surface Mount,0.315 (8.00mm),0.492 L x 0.492 W (12.50mm x 12.50mm),2,-40°C ~ 125°C,,Bourns Inc.,,,
INDUCTOR POWER,SRR1280-3R3Y,inductors\Inductor,3.3uH,8.8A,9.8A,12mOhm Max,40MHz,100kHz,20 @ 7.96MHz,3.3uH,±30%,,Ferrite,,Nonstandard,L,,,https://www.bourns.com/docs/Product-Datasheets/SRR1280.pdf,FIXED IND 3.3UH 8.8A 12 MOHM SMD,Surface Mount,0.315 (8.00mm),0.492 L x 0.492 W (12.50mm x 12.50mm),2,-40°C ~ 125°C,,Bourns Inc.,,,
INDUCTOR POWER,SRR1280-220M,inductors\Inductor,22uH,4.3A,4.1A,38.6mOhm Max,11MHz,100kHz,20 @ 2.52MHz,22uH,±20%,,Ferrite,,Nonstandard,L,,,https://www.bourns.com/docs/Product-Datasheets/SRR1280.pdf,FIXED IND 22UH 4.3A 38.6MOHM SMD,Surface Mount,0.315 (8.00mm),0.492 L x 0.492 W (12.50mm x 12.50mm),2,-40°C ~ 125°C,,Bourns Inc.,,,
INDUCTOR POWER,SRR1280-3R5Y,inductors\Inductor,3.5uH,8.8A,9.8A,12mOhm Max,36MHz,100kHz,20 @ 7.96MHz,3.5uH,±30%,,Ferrite,,Nonstandard,L,,,https://www.bourns.com/docs/Product-Datasheets/SRR1280.pdf,FIXED IND 3.5UH 8.8A 12 MOHM SMD,Surface Mount,0.315 (8.00mm),0.492 L x 0.492 W (12.50mm x 12.50mm),2,-40°C ~ 125°C,,Bourns Inc.,,,
INDUCTOR POWER,SRR1280-150M,inductors\Inductor,15uH,5.2A,5A,28.5mOhm Max,13MHz,100kHz,26 @ 2.52MHz,15uH,±20%,,Ferrite,,Nonstandard,L,,,https://www.bourns.com/docs/Product-Datasheets/SRR1280.pdf,FIXED IND 15UH 5.2A 28.5MOHM SMD,Surface Mount,0.315 (8.00mm),0.492 L x 0.492 W (12.50mm x 12.50mm),2,-40°C ~ 125°C,,Bourns Inc.,,,
INDUCTOR POWER,SRR1280-221K,inductors\Inductor,220uH,1.6A,1.7A,400mOhm Max,3.4MHz,100kHz,24 @ 796kHz,220uH,±10%,,Ferrite,,Nonstandard,L,,,https://www.bourns.com/docs/Product-Datasheets/SRR1280.pdf,FIXED IND 220UH 1.6A 400MOHM SMD,Surface Mount,0.315 (8.00mm),0.492 L x 0.492 W (12.50mm x 12.50mm),2,-40°C ~ 125°C,,Bourns Inc.,,,
INDUCTOR POWER,SRR1280-100M,inductors\Inductor,10uH,6A,6.3A,19.5mOhm Max,17MHz,100kHz,24 @ 2.52MHz,10uH,±20%,,Ferrite,,Nonstandard,L,,,https://www.bourns.com/docs/Product-Datasheets/SRR1280.pdf,FIXED IND 10UH 6A 19.5 MOHM SMD,Surface Mount,0.315 (8.00mm),0.492 L x 0.492 W (12.50mm x 12.50mm),2,-40°C ~ 125°C,,Bourns Inc.,,,
INDUCTOR POWER,SRR1280-151K,inductors\Inductor,150uH,1.85A,1.9A,270mOhm Max,4.1MHz,100kHz,24 @ 796kHz,150uH,±10%,,Ferrite,,Nonstandard,L,,,https://www.bourns.com/docs/Product-Datasheets/SRR1280.pdf,FIXED IND 150UH 1.85A 270MOHM SM,Surface Mount,0.315 (8.00mm),0.492 L x 0.492 W (12.50mm x 12.50mm),2,-40°C ~ 125°C,,Bourns Inc.,,,
INDUCTOR POWER,SRR1280-101M,inductors\Inductor,100uH,2.1A,2A,150mOhm Max,4.5MHz,100kHz,18 @ 796kHz,100uH,±20%,,Ferrite,,Nonstandard,L,,,https://www.bourns.com/docs/Product-Datasheets/SRR1280.pdf,FIXED IND 100UH 2.1A 150MOHM SMD,Surface Mount,0.315 (8.00mm),0.492 L x 0.492 W (12.50mm x 12.50mm),2,-40°C ~ 125°C,,Bourns Inc.,,,
INDUCTOR POWER,SRR1280-330M,inductors\Inductor,33uH,3.5A,3.3A,57mOhm Max,9.5MHz,100kHz,28 @ 2.52MHz,33uH,±20%,,Ferrite,,Nonstandard,L,,,https://www.bourns.com/docs/Product-Datasheets/SRR1280.pdf,FIXED IND 33UH 3.5A 57 MOHM SMD,Surface Mount,0.315 (8.00mm),0.492 L x 0.492 W (12.50mm x 12.50mm),2,-40°C ~ 125°C,,Bourns Inc.,,,
INDUCTOR POWER,SRR1280-180M,inductors\Inductor,18uH,4.8A,4.6A,35mOhm Max,12MHz,100kHz,24 @ 2.52MHz,18uH,±20%,,Ferrite,,Nonstandard,L,,,https://www.bourns.com/docs/Product-Datasheets/SRR1280.pdf,FIXED IND 18UH 4.8A 35 MOHM SMD,Surface Mount,0.315 (8.00mm),0.492 L x 0.492 W (12.50mm x 12.50mm),2,-40°C ~ 125°C,,Bourns Inc.,,,
INDUCTOR POWER,SRR1280-820M,inductors\Inductor,82uH,2.3A,2.2A,130mOhm Max,5MHz,100kHz,20 @ 796kHz,82uH,±20%,,Ferrite,,Nonstandard,L,,,https://www.bourns.com/docs/Product-Datasheets/SRR1280.pdf,FIXED IND 82UH 2.3A 130 MOHM SMD,Surface Mount,0.315 (8.00mm),0.492 L x 0.492 W (12.50mm x 12.50mm),2,-40°C ~ 125°C,,Bourns Inc.,,,
INDUCTOR POWER,SRR1280-2R4Y,inductors\Inductor,2.4uH,9.2A,10.5A,10mOhm Max,45MHz,100kHz,20 @ 7.96MHz,2.4uH,±30%,,Ferrite,,Nonstandard,L,,,https://www.bourns.com/docs/Product-Datasheets/SRR1280.pdf,FIXED IND 2.4UH 9.2A 10 MOHM SMD,Surface Mount,0.315 (8.00mm),0.492 L x 0.492 W (12.50mm x 12.50mm),2,-40°C ~ 125°C,,Bourns Inc.,,,
INDUCTOR POWER,SRR1280-471K,inductors\Inductor,470uH,900mA,1.25A,880mOhm Max,2.2MHz,100kHz,20 @ 796kHz,470uH,±10%,,Ferrite,,Nonstandard,L,,,https://www.bourns.com/docs/Product-Datasheets/SRR1280.pdf,FIXED IND 470UH 900MA 880MOHM SM,Surface Mount,0.315 (8.00mm),0.492 L x 0.492 W (12.50mm x 12.50mm),2,-40°C ~ 125°C,,Bourns Inc.,,,
INDUCTOR POWER,SRR1280-121K,inductors\Inductor,120uH,1.95A,1.95A,200mOhm Max,4.3MHz,100kHz,16 @ 796kHz,120uH,±10%,,Ferrite,,Nonstandard,L,,,https://www.bourns.com/docs/Product-Datasheets/SRR1280.pdf,FIXED IND 120UH 1.95A 200MOHM SM,Surface Mount,0.315 (8.00mm),0.492 L x 0.492 W (12.50mm x 12.50mm),2,-40°C ~ 125°C,,Bourns Inc.,,,
INDUCTOR POWER,SRR1280-1R1Y,inductors\Inductor,1.1uH,10.2A,14A,6.5mOhm Max,85MHz,100kHz,26 @ 7.96MHz,1.1uH,±30%,,Ferrite,,Nonstandard,L,,,https://www.bourns.com/docs/Product-Datasheets/SRR1280.pdf,FIXED IND 1.1UH 10.2A 6.5MOHM SM,Surface Mount,0.315 (8.00mm),0.492 L x 0.492 W (12.50mm x 12.50mm),2,-40°C ~ 125°C,,Bourns Inc.,,,
INDUCTOR POWER,SRR1280-4R5Y,inductors\Inductor,4.5uH,8.5A,9A,13.5mOhm Max,34MHz,100kHz,20 @ 7.96MHz,4.5uH,±30%,,Ferrite,,Nonstandard,L,,,https://www.bourns.com/docs/Product-Datasheets/SRR1280.pdf,FIXED IND 4.5UH 8.5A 13.5MOHM SM,Surface Mount,0.315 (8.00mm),0.492 L x 0.492 W (12.50mm x 12.50mm),2,-40°C ~ 125°C,,Bourns Inc.,,,
INDUCTOR POWER,SRR1280-470M,inductors\Inductor,47uH,2.9A,2.8A,80mOhm Max,7.5MHz,100kHz,24 @ 2.52MHz,47uH,±20%,,Ferrite,,Nonstandard,L,,,https://www.bourns.com/docs/Product-Datasheets/SRR1280.pdf,FIXED IND 47UH 2.9A 80 MOHM SMD,Surface Mount,0.315 (8.00mm),0.492 L x 0.492 W (12.50mm x 12.50mm),2,-40°C ~ 125°C,,Bourns Inc.,,,
INDUCTOR POWER,SRR1280-102K,inductors\Inductor,1mH,680mA,800mA,1.7Ohm Max,1.3MHz,100kHz,40 @ 252kHz,1mH,±10%,,Ferrite,,Nonstandard,L,,,https://www.bourns.com/docs/Product-Datasheets/SRR1280.pdf,FIXED IND 1MH 680MA 1.7 OHM SMD,Surface Mount,0.315 (8.00mm),0.492 L x 0.492 W (12.50mm x 12.50mm),2,-40°C ~ 125°C,,Bourns Inc.,,,
INDUCTOR POWER,SRR1280-331K,inductors\Inductor,330uH,1.1A,1.4A,600mOhm Max,2.9MHz,100kHz,18 @ 796kHz,330uH,±10%,,Ferrite,,Nonstandard,L,,,https://www.bourns.com/docs/Product-Datasheets/SRR1280.pdf,FIXED IND 330UH 1.1A 600MOHM SMD,Surface Mount,0.315 (8.00mm),0.492 L x 0.492 W (12.50mm x 12.50mm),2,-40°C ~ 125°C,,Bourns Inc.,,,
INDUCTOR POWER,SRR1280-181K,inductors\Inductor,180uH,1.75A,1.88A,300mOhm Max,4MHz,100kHz,24 @ 796kHz,180uH,±10%,,Ferrite,,Nonstandard,L,,,https://www.bourns.com/docs/Product-Datasheets/SRR1280.pdf,FIXED IND 180UH 1.75A 300MOHM SM,Surface Mount,0.315 (8.00mm),0.492 L x 0.492 W (12.50mm x 12.50mm),2,-40°C ~ 125°C,,Bourns Inc.,,,
INDUCTOR POWER,SRR1280-560M,inductors\Inductor,56uH,2.6A,2.5A,100mOhm Max,7MHz,100kHz,24 @ 2.52MHz,56uH,±20%,,Ferrite,,Nonstandard,L,,,https://www.bourns.com/docs/Product-Datasheets/SRR1280.pdf,FIXED IND 56UH 2.6A 100 MOHM SMD,Surface Mount,0.315 (8.00mm),0.492 L x 0.492 W (12.50mm x 12.50mm),2,-40°C ~ 125°C,,Bourns Inc.,,,
INDUCTOR POWER,SRR1280-4R7Y,inductors\Inductor,4.7uH,8.2A,8.8A,15.5mOhm Max,30MHz,100kHz,22 @ 7.96MHz,4.7uH,±30%,,Ferrite,,Nonstandard,L,,,https://www.bourns.com/docs/Product-Datasheets/SRR1280.pdf,FIXED IND 4.7UH 8.2A 15.5MOHM SM,Surface Mount,0.315 (8.00mm),0.492 L x 0.492 W (12.50mm x 12.50mm),2,-40°C ~ 125°C,,Bourns Inc.,,,
INDUCTOR POWER,SRR1280-681K,inductors\Inductor,680uH,750mA,970mA,1.3Ohm Max,1.7MHz,100kHz,26 @ 796kHz,680uH,±10%,,Ferrite,,Nonstandard,L,,,https://www.bourns.com/docs/Product-Datasheets/SRR1280.pdf,FIXED IND 680UH 750MA 1.3OHM SMD,Surface Mount,0.315 (8.00mm),0.492 L x 0.492 W (12.50mm x 12.50mm),2,-40°C ~ 125°C,,Bourns Inc.,,,
INDUCTOR POWER,SRR1280-120M,inductors\Inductor,12uH,5.6A,6.6A,28mOhm Max,15MHz,100kHz,26 @ 2.52MHz,12uH,±20%,,Ferrite,,Nonstandard,L,,,https://www.bourns.com/docs/Product-Datasheets/SRR1280.pdf,FIXED IND 12UH 5.6A 28 MOHM SMD,Surface Mount,0.315 (8.00mm),0.492 L x 0.492 W (12.50mm x 12.50mm),2,-40°C ~ 125°C,,Bourns Inc.,,,
INDUCTOR POWER,SRR1280-6R8Y,inductors\Inductor,6.8uH,7.6A,8A,18.5mOhm Max,22MHz,100kHz,20 @ 7.96MHz,6.8uH,±30%,,Ferrite,,Nonstandard,L,,,https://www.bourns.com/docs/Product-Datasheets/SRR1280.pdf,FIXED IND 6.8UH 7.6A 18.5MOHM SM,Surface Mount,0.315 (8.00mm),0.492 L x 0.492 W (12.50mm x 12.50mm),2,-40°C ~ 125°C,,Bourns Inc.,,,
INDUCTOR POWER,SRR1280-680M,inductors\Inductor,68uH,2.4A,2.3A,120mOhm Max,6.5MHz,100kHz,20 @ 2.52MHz,68uH,±20%,,Ferrite,,Nonstandard,L,,,https://www.bourns.com/docs/Product-Datasheets/SRR1280.pdf,FIXED IND 68UH 2.4A 120 MOHM SMD,Surface Mount,0.315 (8.00mm),0.492 L x 0.492 W (12.50mm x 12.50mm),2,-40°C ~ 125°C,,Bourns Inc.,,,
INDUCTOR POWER,SRR1280-391K,inductors\Inductor,390uH,1A,1.4A,680mOhm Max,2.7MHz,100kHz,20 @ 796kHz,390uH,±10%,,Ferrite,,Nonstandard,L,,,https://www.bourns.com/docs/Product-Datasheets/SRR1280.pdf,FIXED IND 390UH 1A 680 MOHM SMD,Surface Mount,0.315 (8.00mm),0.492 L x 0.492 W (12.50mm x 12.50mm),2,-40°C ~ 125°C,,Bourns Inc.,,,
INDUCTOR POWER,SRR6028-220Y,inductors\Inductor,22uH,1.4A,1.08A,115mOhm Max,20MHz,100kHz,8.5 @ 2.52MHz,22uH,±30%,,Ferrite,,Nonstandard,L,,,https://www.bourns.com/docs/Product-Datasheets/SRR6028.pdf,FIXED IND 22UH 1.4A 115 MOHM SMD,Surface Mount,0.118 (3.00mm),0.268 L x 0.268 W (6.80mm x 6.80mm),2,-40°C ~ 125°C,,Bourns Inc.,,,
INDUCTOR POWER,SRR6028-560Y,inductors\Inductor,56uH,850mA,650mA,260mOhm Max,15MHz,100kHz,10 @ 796kHz,56uH,±30%,,Ferrite,,Nonstandard,L,,,https://www.bourns.com/docs/Product-Datasheets/SRR6028.pdf,FIXED IND 56UH 850MA 260MOHM SMD,Surface Mount,0.118 (3.00mm),0.268 L x 0.268 W (6.80mm x 6.80mm),2,-40°C ~ 125°C,,Bourns Inc.,,,
INDUCTOR POWER,SRR6028-8R6Y,inductors\Inductor,8.6uH,2.1A,1.82A,56mOhm Max,28MHz,100kHz,8 @ 2.52MHz,8.6uH,±30%,,Ferrite,,Nonstandard,L,,,https://www.bourns.com/docs/Product-Datasheets/SRR6028.pdf,FIXED IND 8.6UH 2.1A 56 MOHM SMD,Surface Mount,0.118 (3.00mm),0.268 L x 0.268 W (6.80mm x 6.80mm),2,-40°C ~ 125°C,,Bourns Inc.,,,
INDUCTOR POWER,SRR6028-390Y,inductors\Inductor,39uH,1A,750mA,195mOhm Max,17MHz,100kHz,10 @ 2.52MHz,39uH,±30%,,Ferrite,,Nonstandard,L,,,https://www.bourns.com/docs/Product-Datasheets/SRR6028.pdf,FIXED IND 39UH 1A 195 MOHM SMD,Surface Mount,0.118 (3.00mm),0.268 L x 0.268 W (6.80mm x 6.80mm),2,-40°C ~ 125°C,,Bourns Inc.,,,
INDUCTOR POWER,SRR6028-180Y,inductors\Inductor,18uH,1.5A,1.1A,85mOhm Max,21MHz,100kHz,9 @ 2.52MHz,18uH,±30%,,Ferrite,,Nonstandard,L,,,https://www.bourns.com/docs/Product-Datasheets/SRR6028.pdf,FIXED IND 18UH 1.5A 85 MOHM SMD,Surface Mount,0.118 (3.00mm),0.268 L x 0.268 W (6.80mm x 6.80mm),2,-40°C ~ 125°C,,Bourns Inc.,,,
INDUCTOR POWER,SRR6028-3R9Y,inductors\Inductor,3.9uH,2.45A,2.3A,32mOhm Max,40MHz,100kHz,9 @ 7.96MHz,3.9uH,±30%,,Ferrite,,Nonstandard,L,,,https://www.bourns.com/docs/Product-Datasheets/SRR6028.pdf,FIXED IND 3.9UH 2.45A 32MOHM SMD,Surface Mount,0.118 (3.00mm),0.268 L x 0.268 W (6.80mm x 6.80mm),2,-40°C ~ 125°C,,Bourns Inc.,,,
INDUCTOR POWER,SRR6028-120Y,inductors\Inductor,12uH,1.9A,1.5A,70mOhm Max,24MHz,100kHz,10 @ 2.52MHz,12uH,±30%,,Ferrite,,Nonstandard,L,,,https://www.bourns.com/docs/Product-Datasheets/SRR6028.pdf,FIXED IND 12UH 1.9A 70 MOHM SMD,Surface Mount,0.118 (3.00mm),0.268 L x 0.268 W (6.80mm x 6.80mm),2,-40°C ~ 125°C,,Bourns Inc.,,,
INDUCTOR POWER,SRR6028-471Y,inductors\Inductor,470uH,270mA,220mA,2.1Ohm Max,9MHz,100kHz,11 @ 796kHz,470uH,±30%,,Ferrite,,Nonstandard,L,,,https://www.bourns.com/docs/Product-Datasheets/SRR6028.pdf,FIXED IND 470UH 270MA 2.1OHM SMD,Surface Mount,0.118 (3.00mm),0.268 L x 0.268 W (6.80mm x 6.80mm),2,-40°C ~ 125°C,,Bourns Inc.,,,
INDUCTOR POWER,SRR6028-7R3Y,inductors\Inductor,7.3uH,2.2A,1.85A,52mOhm Max,30MHz,100kHz,6 @ 7.96MHz,7.3uH,±30%,,Ferrite,,Nonstandard,L,,,https://www.bourns.com/docs/Product-Datasheets/SRR6028.pdf,FIXED IND 7.3UH 2.2A 52 MOHM SMD,Surface Mount,0.118 (3.00mm),0.268 L x 0.268 W (6.80mm x 6.80mm),2,-40°C ~ 125°C,,Bourns Inc.,,,
INDUCTOR POWER,SRR6028-270Y,inductors\Inductor,27uH,1.2A,1A,130mOhm Max,19MHz,100kHz,9 @ 2.52MHz,27uH,±30%,,Ferrite,,Nonstandard,L,,,https://www.bourns.com/docs/Product-Datasheets/SRR6028.pdf,FIXED IND 27UH 1.2A 130 MOHM SMD,Surface Mount,0.118 (3.00mm),0.268 L x 0.268 W (6.80mm x 6.80mm),2,-40°C ~ 125°C,,Bourns Inc.,,,
INDUCTOR POWER,SRR6028-150Y,inductors\Inductor,15uH,1.7A,1.3A,78mOhm Max,22MHz,100kHz,9.5 @ 2.52MHz,15uH,±30%,,Ferrite,,Nonstandard,L,,,https://www.bourns.com/docs/Product-Datasheets/SRR6028.pdf,FIXED IND 15UH 1.7A 78 MOHM SMD,Surface Mount,0.118 (3.00mm),0.268 L x 0.268 W (6.80mm x 6.80mm),2,-40°C ~ 125°C,,Bourns Inc.,,,
INDUCTOR POWER,SRR6028-681Y,inductors\Inductor,680uH,220mA,200mA,3.1Ohm Max,8MHz,100kHz,13 @ 796kHz,680uH,±30%,,Ferrite,,Nonstandard,L,,,https://www.bourns.com/docs/Product-Datasheets/SRR6028.pdf,FIXED IND 680UH 220MA 3.1OHM SMD,Surface Mount,0.118 (3.00mm),0.268 L x 0.268 W (6.80mm x 6.80mm),2,-40°C ~ 125°C,,Bourns Inc.,,,
INDUCTOR POWER,SRR6028-151Y,inductors\Inductor,150uH,500mA,420mA,680mOhm Max,13MHz,100kHz,12 @ 796kHz,150uH,±30%,,Ferrite,,Nonstandard,L,,,https://www.bourns.com/docs/Product-Datasheets/SRR6028.pdf,FIXED IND 150UH 500MA 680MOHM SM,Surface Mount,0.118 (3.00mm),0.268 L x 0.268 W (6.80mm x 6.80mm),2,-40°C ~ 125°C,,Bourns Inc.,,,
INDUCTOR POWER,SRR6028-3R3Y,inductors\Inductor,3.3uH,2.5A,2.6A,28mOhm Max,45MHz,100kHz,10 @ 7.96MHz,3.3uH,±30%,,Ferrite,,Nonstandard,L,,,https://www.bourns.com/docs/Product-Datasheets/SRR6028.pdf,FIXED IND 3.3UH 2.5A 28 MOHM SMD,Surface Mount,0.118 (3.00mm),0.268 L x 0.268 W (6.80mm x 6.80mm),2,-40°C ~ 125°C,,Bourns Inc.,,,
INDUCTOR POWER,SRR6028-101Y,inductors\Inductor,100uH,580mA,550mA,500mOhm Max,14MHz,100kHz,8.5 @ 796kHz,100uH,±30%,,Ferrite,,Nonstandard,L,,,https://www.bourns.com/docs/Product-Datasheets/SRR6028.pdf,FIXED IND 100UH 580MA 500MOHM SM,Surface Mount,0.118 (3.00mm),0.268 L x 0.268 W (6.80mm x 6.80mm),2,-40°C ~ 125°C,,Bourns Inc.,,,
INDUCTOR POWER,SRR6028-221Y,inductors\Inductor,220uH,450mA,360mA,820mOhm Max,12MHz,100kHz,15 @ 796kHz,220uH,±30%,,Ferrite,,Nonstandard,L,,,https://www.bourns.com/docs/Product-Datasheets/SRR6028.pdf,FIXED IND 220UH 450MA 820MOHM SM,Surface Mount,0.118 (3.00mm),0.268 L x 0.268 W (6.80mm x 6.80mm),2,-40°C ~ 125°C,,Bourns Inc.,,,
