Part Type,Part Number,Schematic Part,Part Value,Current Rating (Amps),Current - Saturation,DC Resistance (DCR),Frequency - Self Resonant,Inductance Frequency - Test,Q @ Freq,Inductance,Tolerance,Voltage,Material - Core,Allegro PCB Footprint,Package / Case,Pspice Model,Power,Availability,Data Sheet,Description,Mounting Type,Height - Seated (Max),Size,Number of Pins,Operating Temperature,Distributor Part Number,Manufacturer,Manufacturer Part Number,Price,ActivepartsID
INDUCTOR RF,LQW15AN9N6J8ZD,inductors\Inductor,9.6nH,1.4A,,81mOhm Max,6GHz,100MHz,33 @ 250MHz,9.6nH,±5%,,Non-Magnetic,L_0402_1005Metric,0402 (1006 Metric),L,,,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-9138.pdf,FIXED IND 9.6NH 1.4A 81 MOHM,Surface Mount,0.024 (0.60mm),0.039 L x 0.024 W (1.00mm x 0.60mm),2,-55°C ~ 125°C,,Murata Electronics,,,
INDUCTOR RF,LQW15AN6N5J8ZD,inductors\Inductor,6.5nH,1.38A,,65mOhm Max,7GHz,100MHz,32 @ 250MHz,6.5nH,±5%,,Non-Magnetic,L_0402_1005Metric,0402 (1006 Metric),L,,,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-9138.pdf,FIXED IND 6.5NH 1.38A 65 MOHM,Surface Mount,0.024 (0.60mm),0.039 L x 0.024 W (1.00mm x 0.60mm),2,-55°C ~ 125°C,,Murata Electronics,,,
INDUCTOR RF,LQW15AN5N4D8ZD,inductors\Inductor,5.4nH,1.77A,,40mOhm Max,8GHz,100MHz,35 @ 250MHz,5.4nH,±0.5nH,,Non-Magnetic,L_0402_1005Metric,0402 (1006 Metric),L,,,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-9138.pdf,FIXED IND 5.4NH 1.77A 40 MOHM,Surface Mount,0.024 (0.60mm),0.039 L x 0.024 W (1.00mm x 0.60mm),2,-55°C ~ 125°C,,Murata Electronics,,,
INDUCTOR RF,LQW15AN8N9J8ZD,inductors\Inductor,8.9nH,1.42A,,70mOhm Max,6.5GHz,100MHz,31 @ 250MHz,8.9nH,±5%,,Non-Magnetic,L_0402_1005Metric,0402 (1006 Metric),L,,,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-9138.pdf,FIXED IND 8.9NH 1.42A 70 MOHM,Surface Mount,0.024 (0.60mm),0.039 L x 0.024 W (1.00mm x 0.60mm),2,-55°C ~ 125°C,,Murata Electronics,,,
INDUCTOR RF,LQW15AN6N7J8ZD,inductors\Inductor,6.7nH,1.28A,,78mOhm Max,7GHz,100MHz,30 @ 250MHz,6.7nH,±5%,,Non-Magnetic,L_0402_1005Metric,0402 (1006 Metric),L,,,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-9138.pdf,FIXED IND 6.7NH 1.28A 78 MOHM,Surface Mount,0.024 (0.60mm),0.039 L x 0.024 W (1.00mm x 0.60mm),2,-55°C ~ 125°C,,Murata Electronics,,,
INDUCTOR RF,LQW15AN8N4J8ZD,inductors\Inductor,8.4nH,1.5A,,69mOhm Max,6.5GHz,100MHz,32 @ 250MHz,8.4nH,±5%,,Non-Magnetic,L_0402_1005Metric,0402 (1006 Metric),L,,,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-9138.pdf,FIXED IND 8.4NH 1.5A 69 MOHM,Surface Mount,0.024 (0.60mm),0.039 L x 0.024 W (1.00mm x 0.60mm),2,-55°C ~ 125°C,,Murata Electronics,,,
INDUCTOR RF,LQW15AN2N3D8ZD,inductors\Inductor,2.3nH,2.53A,,22mOhm Max,15.5GHz,100MHz,30 @ 250MHz,2.3nH,±0.5nH,,Non-Magnetic,L_0402_1005Metric,0402 (1005 Metric),L,,,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-9138.pdf,FIXED IND 2.3NH 2.53A 22 MOHM,Surface Mount,0.024 (0.60mm),0.039 L x 0.024 W (1.00mm x 0.60mm),2,-55°C ~ 125°C,,Murata Electronics,,,
INDUCTOR RF,LQW15AN30NJ8ZD,inductors\Inductor,30nH,660mA,,309mOhm Max,3.8GHz,100MHz,30 @ 250MHz,30nH,±5%,,Non-Magnetic,L_0402_1005Metric,0402 (1006 Metric),L,,,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-9138.pdf,FIXED IND 30NH 660MA 309 MOHM,Surface Mount,0.024 (0.60mm),0.039 L x 0.024 W (1.00mm x 0.60mm),2,-55°C ~ 125°C,,Murata Electronics,,,
INDUCTOR RF,LQW15AN6N6J8ZD,inductors\Inductor,6.6nH,1.28A,,78mOhm Max,7GHz,100MHz,30 @ 250MHz,6.6nH,±5%,,Non-Magnetic,L_0402_1005Metric,0402 (1006 Metric),L,,,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-9138.pdf,FIXED IND 6.6NH 1.28A 78 MOHM,Surface Mount,0.024 (0.60mm),0.039 L x 0.024 W (1.00mm x 0.60mm),2,-55°C ~ 125°C,,Murata Electronics,,,
INDUCTOR RF,LQW15AN3N8D8ZD,inductors\Inductor,3.8nH,1.95A,,30mOhm Max,10GHz,100MHz,35 @ 250MHz,3.8nH,±0.5nH,,Non-Magnetic,L_0402_1005Metric,0402 (1006 Metric),L,,,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-9138.pdf,FIXED IND 3.8NH 1.95A 30 MOHM,Surface Mount,0.024 (0.60mm),0.039 L x 0.024 W (1.00mm x 0.60mm),2,-55°C ~ 125°C,,Murata Electronics,,,
INDUCTOR RF,LQW15AN7N3J8ZD,inductors\Inductor,7.3nH,1.7A,,50mOhm Max,7GHz,100MHz,32 @ 250MHz,7.3nH,±5%,,Non-Magnetic,L_0402_1005Metric,0402 (1006 Metric),L,,,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-9138.pdf,FIXED IND 7.3NH 1.7A 50 MOHM,Surface Mount,0.024 (0.60mm),0.039 L x 0.024 W (1.00mm x 0.60mm),2,-55°C ~ 125°C,,Murata Electronics,,,
INDUCTOR RF,LQW15AN8N8J8ZD,inductors\Inductor,8.8nH,1.42A,,70mOhm Max,6.5GHz,100MHz,31 @ 250MHz,8.8nH,±5%,,Non-Magnetic,L_0402_1005Metric,0402 (1006 Metric),L,,,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-9138.pdf,FIXED IND 8.8NH 1.42A 70 MOHM,Surface Mount,0.024 (0.60mm),0.039 L x 0.024 W (1.00mm x 0.60mm),2,-55°C ~ 125°C,,Murata Electronics,,,
INDUCTOR RF,LQW15AN9N1G8ZD,inductors\Inductor,9.1nH,1.4A,,80mOhm Max,6.5GHz,100MHz,32 @ 250MHz,9.1nH,±2%,,Non-Magnetic,L_0402_1005Metric,0402 (1006 Metric),L,,,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-9138.pdf,FIXED IND 9.1NH 1.4A 80 MOHM,Surface Mount,0.024 (0.60mm),0.039 L x 0.024 W (1.00mm x 0.60mm),2,-55°C ~ 125°C,,Murata Electronics,,,
INDUCTOR RF,LQW15AN7N6J8ZD,inductors\Inductor,7.6nH,1.7A,,50mOhm Max,7GHz,100MHz,30 @ 250MHz,7.6nH,±5%,,Non-Magnetic,L_0402_1005Metric,0402 (1006 Metric),L,,,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-9138.pdf,FIXED IND 7.6NH 1.7A 50 MOHM,Surface Mount,0.024 (0.60mm),0.039 L x 0.024 W (1.00mm x 0.60mm),2,-55°C ~ 125°C,,Murata Electronics,,,
INDUCTOR RF,LQW15AN2N4D8ZD,inductors\Inductor,2.4nH,2.53A,,22mOhm Max,15.5GHz,100MHz,30 @ 250MHz,2.4nH,±0.5nH,,Non-Magnetic,L_0402_1005Metric,0402 (1005 Metric),L,,,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-9138.pdf,FIXED IND 2.4NH 2.53A 22 MOHM,Surface Mount,0.024 (0.60mm),0.039 L x 0.024 W (1.00mm x 0.60mm),2,-55°C ~ 125°C,,Murata Electronics,,,
INDUCTOR RF,LQW15AN51NJ8ZD,inductors\Inductor,51nH,415mA,,696mOhm Max,2.9GHz,100MHz,25 @ 200MHz,51nH,±5%,,Non-Magnetic,L_0402_1005Metric,0402 (1006 Metric),L,,,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-9138.pdf,FIXED IND 51NH 415MA 696 MOHM,Surface Mount,0.024 (0.60mm),0.039 L x 0.024 W (1.00mm x 0.60mm),2,-55°C ~ 125°C,,Murata Electronics,,,
INDUCTOR RF,LQW15AN7N9J8ZD,inductors\Inductor,7.9nH,1.7A,,50mOhm Max,7GHz,100MHz,30 @ 250MHz,7.9nH,±5%,,Non-Magnetic,L_0402_1005Metric,0402 (1006 Metric),L,,,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-9138.pdf,FIXED IND 7.9NH 1.7A 50 MOHM,Surface Mount,0.024 (0.60mm),0.039 L x 0.024 W (1.00mm x 0.60mm),2,-55°C ~ 125°C,,Murata Electronics,,,
INDUCTOR RF,LQW15AN3N7D8ZD,inductors\Inductor,3.7nH,1.95A,,30mOhm Max,10GHz,100MHz,35 @ 250MHz,3.7nH,±0.5nH,,Non-Magnetic,L_0402_1005Metric,0402 (1006 Metric),L,,,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-9138.pdf,FIXED IND 3.7NH 1.95A 30 MOHM,Surface Mount,0.024 (0.60mm),0.039 L x 0.024 W (1.00mm x 0.60mm),2,-55°C ~ 125°C,,Murata Electronics,,,
INDUCTOR RF,LQW15AN4N5G8ZD,inductors\Inductor,4.5nH,1.45A,,60mOhm Max,9.6GHz,100MHz,34 @ 250MHz,4.5nH,±2%,,Non-Magnetic,L_0402_1005Metric,0402 (1006 Metric),L,,,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-9138.pdf,FIXED IND 4.5NH 1.45A 60 MOHM,Surface Mount,0.024 (0.60mm),0.039 L x 0.024 W (1.00mm x 0.60mm),2,-55°C ~ 125°C,,Murata Electronics,,,
INDUCTOR RF,LQW15AN6N1D8ZD,inductors\Inductor,6.1nH,1.6A,,56mOhm Max,8GHz,100MHz,32 @ 250MHz,6.1nH,±0.5nH,,Non-Magnetic,L_0402_1005Metric,0402 (1006 Metric),L,,,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-9138.pdf,FIXED IND 6.1NH 1.6A 56 MOHM,Surface Mount,0.024 (0.60mm),0.039 L x 0.024 W (1.00mm x 0.60mm),2,-55°C ~ 125°C,,Murata Electronics,,,
INDUCTOR RF,LQW15AN4N9B80D,inductors\Inductor,4.9nH,1.2A,,71mOhm Max,8GHz,100MHz,27 @ 250MHz,4.9nH,±0.1nH,,Non-Magnetic,L_0402_1005Metric,0402 (1006 Metric),L,,,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-0100.pdf,FIXED IND 4.9NH 1.2A 71 MOHM SMD,Surface Mount,0.024 (0.60mm),0.039 L x 0.024 W (1.00mm x 0.60mm),2,-55°C ~ 125°C,,Murata Electronics,,,
INDUCTOR RF,LQW15AN5N4B8ZD,inductors\Inductor,5.4nH,1.77A,,40mOhm Max,8GHz,100MHz,35 @ 250MHz,5.4nH,±0.1nH,,Non-Magnetic,L_0402_1005Metric,0402 (1006 Metric),L,,,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-9138.pdf,FIXED IND 5.4NH 1.77A 40 MOHM,Surface Mount,0.024 (0.60mm),0.039 L x 0.024 W (1.00mm x 0.60mm),2,-55°C ~ 125°C,,Murata Electronics,,,
INDUCTOR RF,LQW15AN2N7D8ZD,inductors\Inductor,2.7nH,1.5A,,47mOhm Max,14GHz,100MHz,28 @ 250MHz,2.7nH,±0.5nH,,Non-Magnetic,L_0402_1005Metric,0402 (1005 Metric),L,,,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-9138.pdf,FIXED IND 2.7NH 1.5A 47 MOHM,Surface Mount,0.024 (0.60mm),0.039 L x 0.024 W (1.00mm x 0.60mm),2,-55°C ~ 125°C,,Murata Electronics,,,
INDUCTOR RF,LQW15AN2N6D8ZD,inductors\Inductor,2.6nH,1.95A,,35mOhm Max,14.5GHz,100MHz,30 @ 250MHz,2.6nH,±0.5nH,,Non-Magnetic,L_0402_1005Metric,0402 (1005 Metric),L,,,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-9138.pdf,FIXED IND 2.6NH 1.95A 35 MOHM,Surface Mount,0.024 (0.60mm),0.039 L x 0.024 W (1.00mm x 0.60mm),2,-55°C ~ 125°C,,Murata Electronics,,,
INDUCTOR RF,LQW15AN6N8G8ZD,inductors\Inductor,6.8nH,1.45A,,68mOhm Max,7GHz,100MHz,30 @ 250MHz,6.8nH,±2%,,Non-Magnetic,L_0402_1005Metric,0402 (1006 Metric),L,,,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-9138.pdf,FIXED IND 6.8NH 1.45A 68 MOHM,Surface Mount,0.024 (0.60mm),0.039 L x 0.024 W (1.00mm x 0.60mm),2,-55°C ~ 125°C,,Murata Electronics,,,
INDUCTOR RF,LQW15AN8N2G8ZD,inductors\Inductor,8.2nH,1.5A,,69mOhm Max,6.5GHz,100MHz,32 @ 250MHz,8.2nH,±2%,,Non-Magnetic,L_0402_1005Metric,0402 (1006 Metric),L,,,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-9138.pdf,FIXED IND 8.2NH 1.5A 69 MOHM,Surface Mount,0.024 (0.60mm),0.039 L x 0.024 W (1.00mm x 0.60mm),2,-55°C ~ 125°C,,Murata Electronics,,,
INDUCTOR RF,LQW15AN9N2J8ZD,inductors\Inductor,9.2nH,1.4A,,81mOhm Max,6GHz,100MHz,32 @ 250MHz,9.2nH,±5%,,Non-Magnetic,L_0402_1005Metric,0402 (1006 Metric),L,,,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-9138.pdf,FIXED IND 9.2NH 1.4A 81 MOHM,Surface Mount,0.024 (0.60mm),0.039 L x 0.024 W (1.00mm x 0.60mm),2,-55°C ~ 125°C,,Murata Electronics,,,
INDUCTOR RF,LQW15AN4N0D8ZD,inductors\Inductor,4nH,1.95A,,30mOhm Max,10GHz,100MHz,30 @ 250MHz,4nH,±0.5nH,,Non-Magnetic,L_0402_1005Metric,0402 (1006 Metric),L,,,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-9138.pdf,FIXED IND 4NH 1.95A 30 MOHM,Surface Mount,0.024 (0.60mm),0.039 L x 0.024 W (1.00mm x 0.60mm),2,-55°C ~ 125°C,,Murata Electronics,,,
INDUCTOR RF,LQW15AN5N2G8ZD,inductors\Inductor,5.2nH,1.77A,,40mOhm Max,8GHz,100MHz,35 @ 250MHz,5.2nH,±2%,,Non-Magnetic,L_0402_1005Metric,0402 (1006 Metric),L,,,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-9138.pdf,FIXED IND 5.2NH 1.77A 40 MOHM,Surface Mount,0.024 (0.60mm),0.039 L x 0.024 W (1.00mm x 0.60mm),2,-55°C ~ 125°C,,Murata Electronics,,,
INDUCTOR RF,LQW15AN6N0B8ZD,inductors\Inductor,6nH,1.6A,,56mOhm Max,8GHz,100MHz,32 @ 250MHz,6nH,±0.1nH,,Non-Magnetic,L_0402_1005Metric,0402 (1006 Metric),L,,,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-9138.pdf,FIXED IND 6NH 1.6A 56 MOHM,Surface Mount,0.024 (0.60mm),0.039 L x 0.024 W (1.00mm x 0.60mm),2,-55°C ~ 125°C,,Murata Electronics,,,
INDUCTOR RF,LQW15AN8N1G8ZD,inductors\Inductor,8.1nH,1.5A,,69mOhm Max,6.5GHz,100MHz,32 @ 250MHz,8.1nH,±2%,,Non-Magnetic,L_0402_1005Metric,0402 (1006 Metric),L,,,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-9138.pdf,FIXED IND 8.1NH 1.5A 69 MOHM,Surface Mount,0.024 (0.60mm),0.039 L x 0.024 W (1.00mm x 0.60mm),2,-55°C ~ 125°C,,Murata Electronics,,,
INDUCTOR RF,LQW15AN43NJ8ZD,inductors\Inductor,43nH,515mA,,516mOhm Max,3.4GHz,100MHz,30 @ 250MHz,43nH,±5%,,Non-Magnetic,L_0402_1005Metric,0402 (1006 Metric),L,,,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-9138.pdf,FIXED IND 43NH 515MA 516 MOHM,Surface Mount,0.024 (0.60mm),0.039 L x 0.024 W (1.00mm x 0.60mm),2,-55°C ~ 125°C,,Murata Electronics,,,
INDUCTOR RF,LQW15AN4N4D8ZD,inductors\Inductor,4.4nH,1.6A,,52mOhm Max,9.6GHz,100MHz,34 @ 250MHz,4.4nH,±0.5nH,,Non-Magnetic,L_0402_1005Metric,0402 (1006 Metric),L,,,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-9138.pdf,FIXED IND 4.4NH 1.6A 52 MOHM,Surface Mount,0.024 (0.60mm),0.039 L x 0.024 W (1.00mm x 0.60mm),2,-55°C ~ 125°C,,Murata Electronics,,,
INDUCTOR RF,LQW15AN5N8B80D,inductors\Inductor,5.8nH,1.77A,,40mOhm Max,8GHz,100MHz,30 @ 250MHz,5.8nH,±0.1nH,,0402 (1005 Metric),L_0402_1005Metric,0402 (1006 Metric),L,,,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-0100.pdf,FIXED IND 5.8NH 1.77A 40 MOHM,Surface Mount,0.024 (0.60mm),0.039 L x 0.024 W (1.00mm x 0.60mm),2,-55°C ~ 125°C,,Murata Electronics,,,
INDUCTOR RF,LQW15AN2N2D8ZD,inductors\Inductor,2.2nH,2.53A,,22mOhm Max,15.5GHz,100MHz,30 @ 250MHz,2.2nH,±0.5nH,,Non-Magnetic,L_0402_1005Metric,0402 (1005 Metric),L,,,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-9138.pdf,FIXED IND 2.2NH 2.53A 22 MOHM,Surface Mount,0.024 (0.60mm),0.039 L x 0.024 W (1.00mm x 0.60mm),2,-55°C ~ 125°C,,Murata Electronics,,,
INDUCTOR RF,LQW15AN2N8D8ZD,inductors\Inductor,2.8nH,1.5A,,47mOhm Max,13.5GHz,100MHz,27 @ 250MHz,2.8nH,±0.5nH,,Non-Magnetic,L_0402_1005Metric,0402 (1005 Metric),L,,,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-9138.pdf,FIXED IND 2.8NH 1.5A 47 MOHM,Surface Mount,0.024 (0.60mm),0.039 L x 0.024 W (1.00mm x 0.60mm),2,-55°C ~ 125°C,,Murata Electronics,,,
INDUCTOR RF,LQW15AN9N9G8ZD,inductors\Inductor,9.9nH,1.4A,,81mOhm Max,6GHz,100MHz,32 @ 250MHz,9.9nH,±2%,,Non-Magnetic,L_0402_1005Metric,0402 (1006 Metric),L,,,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-9138.pdf,FIXED IND 9.9NH 1.4A 81 MOHM,Surface Mount,0.024 (0.60mm),0.039 L x 0.024 W (1.00mm x 0.60mm),2,-55°C ~ 125°C,,Murata Electronics,,,
INDUCTOR RF,LQW15AN6N6G8ZD,inductors\Inductor,6.6nH,1.28A,,78mOhm Max,7GHz,100MHz,30 @ 250MHz,6.6nH,±2%,,Non-Magnetic,L_0402_1005Metric,0402 (1006 Metric),L,,,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-9138.pdf,FIXED IND 6.6NH 1.28A 78 MOHM,Surface Mount,0.024 (0.60mm),0.039 L x 0.024 W (1.00mm x 0.60mm),2,-55°C ~ 125°C,,Murata Electronics,,,
INDUCTOR RF,LQW15AN4N3D8ZD,inductors\Inductor,4.3nH,1.8A,,44mOhm Max,9.6GHz,100MHz,32 @ 250MHz,4.3nH,±0.5nH,,Non-Magnetic,L_0402_1005Metric,0402 (1006 Metric),L,,,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-9138.pdf,FIXED IND 4.3NH 1.8A 44 MOHM,Surface Mount,0.024 (0.60mm),0.039 L x 0.024 W (1.00mm x 0.60mm),2,-55°C ~ 125°C,,Murata Electronics,,,
INDUCTOR RF,LQW15AN4N5D8ZD,inductors\Inductor,4.5nH,1.45A,,60mOhm Max,9.6GHz,100MHz,34 @ 250MHz,4.5nH,±0.5nH,,Non-Magnetic,L_0402_1005Metric,0402 (1006 Metric),L,,,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-9138.pdf,FIXED IND 4.5NH 1.45A 60 MOHM,Surface Mount,0.024 (0.60mm),0.039 L x 0.024 W (1.00mm x 0.60mm),2,-55°C ~ 125°C,,Murata Electronics,,,
INDUCTOR RF,LQW15AN20NG8ZD,inductors\Inductor,20nH,800mA,,186mOhm Max,4.5GHz,100MHz,30 @ 250MHz,20nH,±2%,,Non-Magnetic,L_0402_1005Metric,0402 (1005 Metric),L,,,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-9138.pdf,FIXED IND 20NH 800MA 186 MOHM,Surface Mount,0.024 (0.60mm),0.039 L x 0.024 W (1.00mm x 0.60mm),2,-55°C ~ 125°C,,Murata Electronics,,,
INDUCTOR RF,LQW15AN5N9B8ZD,inductors\Inductor,5.9nH,1.77A,,40mOhm Max,8GHz,100MHz,30 @ 250MHz,5.9nH,±0.1nH,,Non-Magnetic,L_0402_1005Metric,0402 (1006 Metric),L,,,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-9138.pdf,FIXED IND 5.9NH 1.77A 40 MOHM,Surface Mount,0.024 (0.60mm),0.039 L x 0.024 W (1.00mm x 0.60mm),2,-55°C ~ 125°C,,Murata Electronics,,,
INDUCTOR RF,LQW15AN5N5G8ZD,inductors\Inductor,5.5nH,1.77A,,40mOhm Max,8GHz,100MHz,35 @ 250MHz,5.5nH,±2%,,Non-Magnetic,L_0402_1005Metric,0402 (1006 Metric),L,,,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-9138.pdf,FIXED IND 5.5NH 1.77A 40 MOHM,Surface Mount,0.024 (0.60mm),0.039 L x 0.024 W (1.00mm x 0.60mm),2,-55°C ~ 125°C,,Murata Electronics,,,
