"Applications","Capacitance","Comment","ComponentLink1Description","ComponentLink1URL","ComponentLink2Description","ComponentLink2URL","ComponentLink3Description","ComponentLink3URL","ComponentLink4Description","ComponentLink4URL","ComponentLink5Description","ComponentLink5URL","ComponentLink6Description","ComponentLink6URL","Description","Device Package","Failure Rate","Features","Footprint Path","Footprint Path 2","Footprint Path 3","Footprint Ref","Footprint Ref 2","Footprint Ref 3","Height - Seated (Max)","LastUpdated","Lead Spacing","Lead Style","Lifecycle Status","Manufacturer","Part Number","Minimum Order","Mounting Type","Operating Temperature","Package / Case","Packaging","PartId","Part Status","Price","Ratings","Series","Size / Dimension","Supplier 1","Supplier Part Number 1","Supplier 2","Supplier Part Number 2","Supplier 3","Supplier Part Number 3","Supplier 4","Supplier Part Number 4","Supplier 5","Supplier Part Number 5","Supplier 6","Supplier Part Number 6","Library Path","Library Ref","Temperature Coefficient","Thickness (Max)","Tolerance","Type","Value","Voltage - Rated"
General Purpose,"0.22uF",=Value,Datasheet,http://datasheets.avx.com/cx5r.pdf,DigiKey Link,http://digikey.com/product-detail/en/avx-corporation/0402ZD224KAT2A/478-6020-1-ND/2208934,"","","","","","","","",CAP CER 0.22UF 10V X5R 0402,"0402 (1005 Metric)","","",,,,"C0402N,C0402L,C0402M",,,"","2020-09-02 01:02:25.443000","","",Active,AVX Corporation,"0402ZD224KAT2A","1","Surface Mount, MLCC",-55°C ~ 85°C,"0402 (1005 Metric)",TapeAndReel,"1719",Active,"0.01","",-,"0.039 L x 0.020 W (1.00mm x 0.50mm)",DigiKey,"478-6020-1-ND","","","","","","","","","","",,capacitors\capacitor,X5R,"0.022 (0.56mm)",±10%,"","0.22uF","10V"
General Purpose,"0.047uF",=Value,Datasheet,http://www.kemet.com/Lists/ProductCatalog/Attachments/71/KEM_C1008_X8L_150C_SMD.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/C0402C473J8NACTU/399-5760-1-ND/2236767,"","","","","","","","",CAP CER 0.047UF 10V X8L 0402,"0402 (1005 Metric)","",High Temperature,,,,"C0402N,C0402L,C0402M",,,"","2020-09-02 01:02:25.427000","","",Active,KEMET,C0402C473J8NACTU,"1","Surface Mount, MLCC",-55°C ~ 150°C,"0402 (1005 Metric)",TapeAndReel,"1720",Active,"0.02","",SMD Comm X8L HT150C,"0.039 L x 0.020 W (1.00mm x 0.50mm)",DigiKey,"399-5760-1-ND","","","","","","","","","","",,capacitors\capacitor,X8L,"0.022 (0.55mm)",±5%,"","0.047uF","10V"
"Automotive, Bypass, Decoupling","33pF",=Value,Datasheet,https://api.kemet.com/component-edge/download/datasheet/C0402C330J4RACAUTO.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/C0402C330J4RACAUTO/399-13708-1-ND/6219636,"","","","","","","","",CAP CER 0402 33PF 16V X7R 5% AUT,"0402 (1005 Metric)","","",,,,"C0402N,C0402L,C0402M",,,"","2020-09-02 01:02:25.423000","","",Active,KEMET,C0402C330J4RACAUTO,"1","Surface Mount, MLCC",-55°C ~ 125°C,"0402 (1005 Metric)",TapeAndReel,"1721",Active,"0.02",AEC-Q200,SMD Auto X7R,"0.039 L x 0.020 W (1.00mm x 0.50mm)",DigiKey,"399-13708-1-ND","","","","","","","","","","",,capacitors\capacitor,X7R,"0.022 (0.55mm)",±5%,"","33pF","16V"
Automotive,"680pF",=Value,Datasheet,https://api.kemet.com/component-edge/download/datasheet/C0402C681J5GACAUTO.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/C0402C681J5GACAUTO/399-15814-1-ND/7516314,"","","","","","","","",CAP CER 680PF 50V C0G/NP0 0402,"0402 (1005 Metric)","",Low ESL,,,,"C0402N,C0402L,C0402M",,,"","2020-09-02 01:02:25.417000","","",Active,KEMET,C0402C681J5GACAUTO,"1","Surface Mount, MLCC",-55°C ~ 125°C,"0402 (1005 Metric)",TapeAndReel,"1722",Active,"0.02",AEC-Q200,SMD Auto C0G,"0.039 L x 0.020 W (1.00mm x 0.50mm)",DigiKey,"399-15814-1-ND","","","","","","","","","","",,capacitors\capacitor,"C0G, NP0","0.022 (0.55mm)",±5%,"","680pF","50V"
Automotive,"6.8pF",=Value,Datasheet,https://api.kemet.com/component-edge/download/datasheet/C0402C689C5GACAUTO.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/C0402C689C5GACAUTO/399-19383-1-ND/9694290,"","","","","","","","",CAP CER 6.8PF 50V C0G/NP0 0402,"0402 (1005 Metric)","",Low ESL,,,,"C0402N,C0402L,C0402M",,,"","2020-09-02 01:02:25.413000","","",Active,KEMET,C0402C689C5GACAUTO,"1","Surface Mount, MLCC",-55°C ~ 125°C,"0402 (1005 Metric)",TapeAndReel,"1723",Active,"0.02",AEC-Q200,SMD Auto C0G,"0.039 L x 0.020 W (1.00mm x 0.50mm)",DigiKey,"399-19383-1-ND","","","","","","","","","","",,capacitors\capacitor,"C0G, NP0","0.022 (0.55mm)",±0.25pF,"","6.8pF","50V"
Automotive,"0.5pF",=Value,Datasheet,https://api.kemet.com/component-edge/download/datasheet/C0402C508B5HACAUTO.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/C0402C508B5HACAUTO/399-C0402C508B5HACAUTOCT-ND/10481856,"","","","","","","","",CAP CER 0402 0.5PF 50V ULTRA STA,"0402 (1005 Metric)","","Low ESL, High Temperature",,,,"C0402N,C0402L,C0402M",,,"","2020-09-02 01:02:25.393000","","",Active,KEMET,C0402C508B5HACAUTO,"1","Surface Mount, MLCC",-55°C ~ 150°C,"0402 (1005 Metric)",TapeAndReel,"1724",Active,"0.02",AEC-Q200,AUTO-150C-(CxxxxC-AUTO),"0.039 L x 0.020 W (1.00mm x 0.50mm)",DigiKey,"399-C0402C508B5HACAUTOCT-ND","","","","","","","","","","",,capacitors\capacitor,X8R,"0.022 (0.55mm)",±0.1pF,"","0.5pF","50V"
"Automotive, ESD Protection","10000pF",=Value,Datasheet,https://api.kemet.com/component-edge/download/datasheet/C0402C103K4RECAUTO.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/C0402C103K4RECAUTO/399-17876-1-ND/8640543,"","","","","","","","",CAP CER 0402 10NF 16V X7R 10%,"0402 (1005 Metric)","","",,,,"C0402N,C0402L,C0402M",,,"","2020-09-02 01:02:25.390000","","",Active,KEMET,C0402C103K4RECAUTO,"1","Surface Mount, MLCC",-55°C ~ 125°C,"0402 (1005 Metric)",TapeAndReel,"1725",Active,"0.02",AEC-Q200,ESD SMD Auto X7R,"0.039 L x 0.020 W (1.00mm x 0.50mm)",DigiKey,"399-17876-1-ND","","","","","","","","","","",,capacitors\capacitor,X7R,"0.022 (0.55mm)",±10%,"","10000pF","16V"
"RF, Microwave, High Frequency","22pF",=Value,Datasheet,https://api.kemet.com/component-edge/download/datasheet/CBR04C220J5GAC.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/CBR04C220J5GAC/399-6174-1-ND/2732145,"","","","","","","","",CAP CER 22PF 50V C0G/NP0 0402,"0402 (1005 Metric)","","High Q, Low Loss, Ultra Low ESR",,,,"C0402N,C0402L,C0402M",,,"","2020-09-02 01:02:25.387000","","",Active,KEMET,CBR04C220J5GAC,"1","Surface Mount, MLCC",-55°C ~ 125°C,"0402 (1005 Metric)",TapeAndReel,"1726",Active,"0.02","",CBR-SMD RF C0G,"0.039 L x 0.020 W (1.00mm x 0.50mm)",DigiKey,"399-6174-1-ND","","","","","","","","","","",,capacitors\capacitor,"C0G, NP0","0.022 (0.55mm)",±5%,"","22pF","50V"
"RF, Microwave, High Frequency","20pF",=Value,Datasheet,https://api.kemet.com/component-edge/download/datasheet/CBR04C200J5GAC.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/CBR04C200J5GAC/399-6173-1-ND/2732143,"","","","","","","","",CAP CER 20PF 50V C0G/NP0 0402,"0402 (1005 Metric)","","High Q, Low Loss, Ultra Low ESR",,,,"C0402N,C0402L,C0402M",,,"","2020-09-02 01:02:25.380000","","",Active,KEMET,CBR04C200J5GAC,"1","Surface Mount, MLCC",-55°C ~ 125°C,"0402 (1005 Metric)",TapeAndReel,"1727",Active,"0.02","",CBR-SMD RF C0G,"0.039 L x 0.020 W (1.00mm x 0.50mm)",DigiKey,"399-6173-1-ND","","","","","","","","","","",,capacitors\capacitor,"C0G, NP0","0.022 (0.55mm)",±5%,"","20pF","50V"
"RF, Microwave, High Frequency","15pF",=Value,Datasheet,https://api.kemet.com/component-edge/download/datasheet/CBR04C150J5GAC.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/CBR04C150J5GAC/399-6170-1-ND/2732139,"","","","","","","","",CAP CER 15PF 50V C0G/NP0 0402,"0402 (1005 Metric)","","High Q, Low Loss, Ultra Low ESR",,,,"C0402N,C0402L,C0402M",,,"","2020-09-02 01:02:25.377000","","",Active,KEMET,CBR04C150J5GAC,"1","Surface Mount, MLCC",-55°C ~ 125°C,"0402 (1005 Metric)",TapeAndReel,"1728",Active,"0.02","",CBR-SMD RF C0G,"0.039 L x 0.020 W (1.00mm x 0.50mm)",DigiKey,"399-6170-1-ND","","","","","","","","","","",,capacitors\capacitor,"C0G, NP0","0.022 (0.55mm)",±5%,"","15pF","50V"
"Automotive, ESD Protection","0.022uF",=Value,Datasheet,https://api.kemet.com/component-edge/download/datasheet/C0402C223K5RECAUTO.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/C0402C223K5RECAUTO/399-17166-1-ND/8563707,"","","","","","","","",CAP CER 0402 22NF 50V X7R 10%,"0402 (1005 Metric)","","",,,,"C0402N,C0402L,C0402M",,,"","2020-09-02 01:02:25.373000","","",Active,KEMET,C0402C223K5RECAUTO,"1","Surface Mount, MLCC",-55°C ~ 125°C,"0402 (1005 Metric)",TapeAndReel,"1729",Active,"0.02",AEC-Q200,ESD SMD Auto X7R,"0.039 L x 0.020 W (1.00mm x 0.50mm)",DigiKey,"399-17166-1-ND","","","","","","","","","","",,capacitors\capacitor,X7R,"0.022 (0.55mm)",±10%,"","0.022uF","50V"
"Automotive, Bypass, Decoupling","33pF",=Value,Datasheet,https://api.kemet.com/component-edge/download/datasheet/C0402C330J9RACAUTO.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/C0402C330J9RACAUTO/399-13709-1-ND/6219637,"","","","","","","","",CAP CER 0402 33PF 6.3V X7R 5% AU,"0402 (1005 Metric)","","",,,,"C0402N,C0402L,C0402M",,,"","2020-09-02 01:02:25.353000","","",Active,KEMET,C0402C330J9RACAUTO,"1","Surface Mount, MLCC",-55°C ~ 125°C,"0402 (1005 Metric)",TapeAndReel,"1730",Active,"0.02",AEC-Q200,SMD Auto X7R,"0.039 L x 0.020 W (1.00mm x 0.50mm)",DigiKey,"399-13709-1-ND","","","","","","","","","","",,capacitors\capacitor,X7R,"0.022 (0.55mm)",±5%,"","33pF","6.3V"
"Automotive, ESD Protection","0.1uF",=Value,Datasheet,https://api.kemet.com/component-edge/download/datasheet/C0402C104K4RECAUTO.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/C0402C104K4RECAUTO/399-17167-1-ND/8563708,"","","","","","","","",CAP CER 0402 0.1UF 16V X7R 10%,"0402 (1005 Metric)","","",,,,"C0402N,C0402L,C0402M",,,"","2020-09-02 01:02:25.340000","","",Active,KEMET,C0402C104K4RECAUTO,"1","Surface Mount, MLCC",-55°C ~ 125°C,"0402 (1005 Metric)",TapeAndReel,"1731",Active,"0.02",AEC-Q200,ESD SMD Auto X7R,"0.039 L x 0.020 W (1.00mm x 0.50mm)",DigiKey,"399-17167-1-ND","","","","","","","","","","",,capacitors\capacitor,X7R,"0.022 (0.55mm)",±10%,"","0.1uF","16V"
"Bypass, Decoupling","22pF",=Value,Datasheet,https://api.kemet.com/component-edge/download/datasheet/C0402C220K4RAC7867.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/C0402C220K4RAC7867/399-17554-1-ND/8572554,"","","","","","","","",CAP CER SMD 0402 22PF 10% X7R 16,"0402 (1005 Metric)","","",,,,"C0402N,C0402L,C0402M",,,"","2020-09-02 01:02:25.330000","","",Active,KEMET,C0402C220K4RAC7867,"1","Surface Mount, MLCC",-55°C ~ 125°C,"0402 (1005 Metric)",TapeAndReel,"1732",Active,"0.02","",SMD Comm X7R,"0.039 L x 0.020 W (1.00mm x 0.50mm)",DigiKey,"399-17554-1-ND","","","","","","","","","","",,capacitors\capacitor,X7R,"0.022 (0.55mm)",±10%,"","22pF","16V"
General Purpose,"1uF",=Value,Datasheet,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM153R60G105ME95-02A.pdf,DigiKey Link,http://digikey.com/product-detail/en/murata-electronics/GRM153R60G105ME95D/490-18658-1-ND/10326323,"","","","","","","","","0402 (1005MM) X5R (EIA) 4VDC 1.","0402 (1005 Metric)","","",,,,"C0402N,C0402L,C0402M",,,"","2020-09-02 01:02:25.327000","","",Active,Murata Electronics,GRM153R60G105ME95D,"1","Surface Mount, MLCC",-55°C ~ 85°C,"0402 (1005 Metric)",TapeAndReel,"1733",Active,"0.03","",GRM,"0.039 L x 0.020 W (1.00mm x 0.50mm)",DigiKey,"490-18658-1-ND","","","","","","","","","","",,capacitors\capacitor,X5R,"0.013 (0.33mm)",±20%,"","1uF","4V"
Automotive,"8.2pF",=Value,Datasheet,https://api.kemet.com/component-edge/download/datasheet/C1206C472J1GACAUTO.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/C0402C829J3GACAUTO/399-6839-1-ND/3314354,"","","","","","","","",CAP CER 8.2PF 25V C0G/NP0 0402,"0402 (1005 Metric)","",Low ESL,,,,"C0402N,C0402L,C0402M",,,"","2020-09-02 01:02:25.320000","","",Active,KEMET,C0402C829J3GACAUTO,"1","Surface Mount, MLCC",-55°C ~ 125°C,"0402 (1005 Metric)",TapeAndReel,"1734",Active,"0.08",AEC-Q200,SMD Auto C0G,"0.039 L x 0.020 W (1.00mm x 0.50mm)",DigiKey,"399-6839-1-ND","","","","","","","","","","",,capacitors\capacitor,"C0G, NP0","0.022 (0.55mm)",±5%,"","8.2pF","25V"
General Purpose,"470pF",=Value,Datasheet,https://api.kemet.com/component-edge/download/datasheet/C0402C471J5GACTU.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/C0402C471J5GACTU/399-7797-1-ND/3471520,"","","","","","","","",CAP CER 470PF 50V C0G/NP0 0402,"0402 (1005 Metric)","",Low ESL,,,,"C0402N,C0402L,C0402M",,,"","2020-09-02 01:02:25.317000","","",Active,KEMET,C0402C471J5GACTU,"1","Surface Mount, MLCC",-55°C ~ 125°C,"0402 (1005 Metric)",TapeAndReel,"1735",Active,"0.08","",SMD Comm C0G,"0.039 L x 0.020 W (1.00mm x 0.50mm)",DigiKey,"399-7797-1-ND","","","","","","","","","","",,capacitors\capacitor,"C0G, NP0","0.022 (0.55mm)",±5%,"","470pF","50V"
"Bypass, Decoupling","470pF",=Value,Datasheet,https://api.kemet.com/component-edge/download/datasheet/C0402C471J4RACTU.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/C0402C471J4RACTU/399-8966-1-ND/3522483,"","","","","","","","",CAP CER 470PF 16V X7R 0402,"0402 (1005 Metric)","","",,,,"C0402N,C0402L,C0402M",,,"","2020-09-02 01:02:25.313000","","",Active,KEMET,C0402C471J4RACTU,"1","Surface Mount, MLCC",-55°C ~ 125°C,"0402 (1005 Metric)",TapeAndReel,"1736",Active,"0.08","",SMD Comm X7R,"0.039 L x 0.020 W (1.00mm x 0.50mm)",DigiKey,"399-8966-1-ND","","","","","","","","","","",,capacitors\capacitor,X7R,"0.022 (0.55mm)",±5%,"","470pF","16V"
Automotive,"82pF",=Value,Datasheet,https://api.kemet.com/component-edge/download/datasheet/C0402C820J5GACAUTO.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/C0402C820J5GACAUTO/399-15877-1-ND/7516377,"","","","","","","","",CAP CER 82PF 50V C0G/NP0 0402,"0402 (1005 Metric)","",Low ESL,,,,"C0402N,C0402L,C0402M",,,"","2020-09-02 01:02:25.310000","","",Active,KEMET,C0402C820J5GACAUTO,"1","Surface Mount, MLCC",-55°C ~ 125°C,"0402 (1005 Metric)",TapeAndReel,"1737",Active,"0.08",AEC-Q200,SMD Auto C0G,"0.039 L x 0.020 W (1.00mm x 0.50mm)",DigiKey,"399-15877-1-ND","","","","","","","","","","",,capacitors\capacitor,"C0G, NP0","0.022 (0.55mm)",±5%,"","82pF","50V"
General Purpose,"0.1uF",=Value,Datasheet,//media.digikey.com/PDF/Data%20Sheets/Kemet%20PDFs/COG%20Dielectric.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/C0402C104M4VACTU/399-7332-1-ND/3316949,"","","","","","","","",CAP CER 0.1UF 16V Y5V 0402,"0402 (1005 Metric)","","",,,,"C0402N,C0402L,C0402M",,,"","2020-09-02 01:02:25.290000","","",Active,KEMET,C0402C104M4VACTU,"1","Surface Mount, MLCC",-30°C ~ 85°C,"0402 (1005 Metric)",TapeAndReel,"1738",Active,"0.08","",SMD Comm Y5V,"0.039 L x 0.020 W (1.00mm x 0.50mm)",DigiKey,"399-7332-1-ND","","","","","","","","","","",,capacitors\capacitor,Y5V (F),"0.022 (0.55mm)",±20%,"","0.1uF","16V"
General Purpose,"1uF",=Value,Datasheet,https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X5R_4V-to-50V_25.pdf,DigiKey Link,http://digikey.com/product-detail/en/yageo/CC0402KRX5R7BB105/311-1691-1-ND/5195593,"","","","","","","","",CAP CER 1UF 16V X5R 0402,"0402 (1005 Metric)","","",,,,"C0402N,C0402L,C0402M",,,"","2020-09-02 01:02:25.287000","","",Active,Yageo,CC0402KRX5R7BB105,"1","Surface Mount, MLCC",-55°C ~ 85°C,"0402 (1005 Metric)",TapeAndReel,"1739",Active,"0.08","",CC,"0.039 L x 0.020 W (1.00mm x 0.50mm)",DigiKey,"311-1691-1-ND","","","","","","","","","","",,capacitors\capacitor,X5R,"0.022 (0.55mm)",±10%,"","1uF","16V"
