"Channel Type","Comment","Common Mode Transient Immunity (Min)","ComponentLink1Description","ComponentLink1URL","ComponentLink2Description","ComponentLink2URL","ComponentLink3Description","ComponentLink3URL","ComponentLink4Description","ComponentLink4URL","ComponentLink5Description","ComponentLink5URL","ComponentLink6Description","ComponentLink6URL","Data Rate","Description","Device Package","Footprint Path","Footprint Path 2","Footprint Path 3","Footprint Ref","Footprint Ref 2","Footprint Ref 3","Inputs - Side 1/Side 2","Isolated Power","LastUpdated","Lifecycle Status","Manufacturer","Part Number","Minimum Order","Mounting Type","Number of Channels","Operating Temperature","Package / Case","Packaging","PartId","Part Status","Price","Propagation Delay tpLH / tpHL (Max)","Pulse Width Distortion (Max)","Rise / Fall Time (Typ)","Series","Supplier 1","Supplier Part Number 1","Supplier 2","Supplier Part Number 2","Supplier 3","Supplier Part Number 3","Supplier 4","Supplier Part Number 4","Supplier 5","Supplier Part Number 5","Supplier 6","Supplier Part Number 6","Supplier Device Package","Library Path","Library Ref","Technology","Type","Value","Voltage - Isolation","Voltage - Supply"
Unidirectional,=Part Number,"35kV/µs",Datasheet,https://www.silabs.com/documents/public/data-sheets/si863x-datasheet.pdf,DigiKey Link,//digikey.com/product-detail/en/silicon-labs/SI8631ED-B-ISR/SI8631ED-B-ISRTR-ND/4069803,"","","","","","","","","150Mbps",DGTL ISO 5KV 3CH GEN PURP 16SOIC,"16-SOIC (0.295, 7.50mm Width)",footprints/Leaded - SOIC/PCB - LEADED - SOIC - SI LABS SOIC-16 WIDE.PCBLIB,"","",SI LABS SOIC-16 WIDE,"","","2/1",No,"2019-12-06 05:01:48.027000","0",Silicon Labs,SI8631ED-B-ISR,"1",Surface Mount,"3",-40°C ~ 125°C,"16-SOIC (0.295, 7.50mm Width)",TapeAndReel,"11",Active,"2.42","13ns, 13ns","4.5ns","2.5ns, 2.5ns",-,DigiKey,SI8631ED-B-ISRTR-ND,"","","","","","","","","","","16-SOIC",symbols/Digital Isolator/SCH - DIGITAL ISOLATOR - SI LABS SI8631.SCHLIB,SI LABS SI8631,Capacitive Coupling,General Purpose,"","5000Vrms","2.5V ~ 5.5V"
Unidirectional,=Part Number,"35kV/µs",Datasheet,https://www.silabs.com/documents/public/data-sheets/si863x-datasheet.pdf,DigiKey Link,//digikey.com/product-detail/en/silicon-labs/SI8631BD-B-ISR/336-4331-2-ND/4069801,"","","","","","","","","150Mbps",DGTL ISO 5KV 3CH GEN PURP 16SOIC,"16-SOIC (0.295, 7.50mm Width)",footprints/Leaded - SOIC/PCB - LEADED - SOIC - SI LABS SOIC-16 WIDE.PCBLIB,"","",SI LABS SOIC-16 WIDE,"","","2/1",No,"2019-12-06 05:02:43.993000","0",Silicon Labs,SI8631BD-B-ISR,"1",Surface Mount,"3",-40°C ~ 125°C,"16-SOIC (0.295, 7.50mm Width)",TapeAndReel,"12",Active,"2.42","13ns, 13ns","4.5ns","2.5ns, 2.5ns",-,DigiKey,"336-4331-2-ND","","","","","","","","","","","16-SOIC",symbols/Digital Isolator/SCH - DIGITAL ISOLATOR - SI LABS SI8631.SCHLIB,SI LABS SI8631,Capacitive Coupling,General Purpose,"","5000Vrms","2.5V ~ 5.5V"
Unidirectional,=Part Number,"60kV/µs",Datasheet,https://www.silabs.com/documents/public/data-sheets/si863x-datasheet.pdf,DigiKey Link,//digikey.com/product-detail/en/silicon-labs/SI8631ET-IS/336-3421-5-ND/5604308,"","","","","","","","","150Mbps",DGTL ISO 5KV 3CH GEN PURP 16SOIC,"16-SOIC (0.295, 7.50mm Width)",footprints/Leaded - SOIC/PCB - LEADED - SOIC - SI LABS SOIC-16 WIDE.PCBLIB,"","",SI LABS SOIC-16 WIDE,"","","2/1",No,"2019-12-06 05:05:43.157000","0",Silicon Labs,SI8631ET-IS,"1",Surface Mount,"3",-40°C ~ 125°C,"16-SOIC (0.295, 7.50mm Width)",Tube,"13",Active,"3.11","13ns, 13ns","4.5ns","2.5ns, 2.5ns",-,DigiKey,"336-3421-5-ND","","","","","","","","","","","16-SOIC",symbols/Digital Isolator/SCH - DIGITAL ISOLATOR - SI LABS SI8631.SCHLIB,SI LABS SI8631,Capacitive Coupling,General Purpose,"","5000Vrms","2.5V ~ 5.5V"
Unidirectional,=Part Number,"60kV/µs",Datasheet,https://www.silabs.com/documents/public/data-sheets/si863x-datasheet.pdf,DigiKey Link,//digikey.com/product-detail/en/silicon-labs/SI8631BT-IS/336-3420-5-ND/5604307,"","","","","","","","","150Mbps",DGTL ISO 5KV 3CH GEN PURP 16SOIC,"16-SOIC (0.295, 7.50mm Width)",footprints/Leaded - SOIC/PCB - LEADED - SOIC - SI LABS SOIC-16 WIDE.PCBLIB,"","",SI LABS SOIC-16 WIDE,"","","2/1",No,"2019-12-06 05:07:12.067000","0",Silicon Labs,SI8631BT-IS,"1",Surface Mount,"3",-40°C ~ 125°C,"16-SOIC (0.295, 7.50mm Width)",Tube,"14",Active,"3.11","13ns, 13ns","4.5ns","2.5ns, 2.5ns",-,DigiKey,"336-3420-5-ND","","","","","","","","","","","16-SOIC",symbols/Digital Isolator/SCH - DIGITAL ISOLATOR - SI LABS SI8631.SCHLIB,SI LABS SI8631,Capacitive Coupling,General Purpose,"","5000Vrms","2.5V ~ 5.5V"
Unidirectional,=Part Number,"35kV/µs",Datasheet,https://www.silabs.com/documents/public/data-sheets/si864x-datasheet.pdf,DigiKey Link,//digikey.com/product-detail/en/silicon-labs/SI8640BB-B-IS/SI8640BB-B-IS-ND/4576741,"","","","","","","","","150Mbps",DGTL ISO 2.5KV GEN PURP 16SOIC,"16-SOIC (0.295, 7.50mm Width)",footprints/Leaded - SOIC/PCB - LEADED - SOIC - SI LABS SOIC-16 WIDE.PCBLIB,"","",SI LABS SOIC-16 WIDE,"","","4/0",No,"2019-12-06 05:23:33.537000","0",Silicon Labs,SI8640BB-B-IS,"1",Surface Mount,"4",-40°C ~ 125°C,"16-SOIC (0.295, 7.50mm Width)",Tube,"15",Active,"2.73","13ns, 13ns","4.5ns","2.5ns, 2.5ns",-,DigiKey,SI8640BB-B-IS-ND,"","","","","","","","","","","16-SOIC",symbols/Digital Isolator/SCH - DIGITAL ISOLATOR - SI LABS SI8640.SCHLIB,SI LABS SI8640,Capacitive Coupling,General Purpose,"","2500Vrms","2.5V ~ 5.5V"
Unidirectional,=Part Number,"35kV/µs",Datasheet,https://www.silabs.com/documents/public/data-sheets/Si86xx.pdf,DigiKey Link,//digikey.com/product-detail/en/silicon-labs/SI8640AB-B-ISR/336-5210-2-ND/4576594,"","","","","","","","","1Mbps",DGTL ISO 2.5KV GEN PURP 16SOIC,"16-SOIC (0.295, 7.50mm Width)",footprints/Leaded - SOIC/PCB - LEADED - SOIC - SI LABS SOIC-16 WIDE.PCBLIB,"","",SI LABS SOIC-16 WIDE,"","","4/0",No,"2019-12-06 05:29:20.713000","0",Silicon Labs,SI8640AB-B-ISR,"1",Surface Mount,"4",-40°C ~ 125°C,"16-SOIC (0.295, 7.50mm Width)",TapeAndReel,"16",Active,"1.63","35ns, 35ns","25ns","2.5ns, 2.5ns",-,DigiKey,"336-5210-2-ND","","","","","","","","","","","16-SOIC",symbols/Digital Isolator/SCH - DIGITAL ISOLATOR - SI LABS SI8640.SCHLIB,SI LABS SI8640,Capacitive Coupling,General Purpose,"","2500Vrms","2.5V ~ 5.5V"
Unidirectional,=Part Number,"35kV/µs",Datasheet,https://www.silabs.com/documents/public/data-sheets/si864x-datasheet.pdf,DigiKey Link,//digikey.com/product-detail/en/silicon-labs/SI8640ED-B-ISR/336-4782-2-ND/4069809,"","","","","","","","","150Mbps",DGTL ISO 5KV 4CH GEN PURP 16SOIC,"16-SOIC (0.295, 7.50mm Width)",footprints/Leaded - SOIC/PCB - LEADED - SOIC - SI LABS SOIC-16 WIDE.PCBLIB,"","",SI LABS SOIC-16 WIDE,"","","4/0",No,"2019-12-06 05:51:30.113000","0",Silicon Labs,SI8640ED-B-ISR,"1",Surface Mount,"4",-40°C ~ 125°C,"16-SOIC (0.295, 7.50mm Width)",TapeAndReel,"17",Active,"3.10","13ns, 13ns","4.5ns","2.5ns, 2.5ns",-,DigiKey,"336-4782-2-ND","","","","","","","","","","","16-SOIC",symbols/Digital Isolator/SCH - DIGITAL ISOLATOR - SI LABS SI8640.SCHLIB,SI LABS SI8640,Capacitive Coupling,General Purpose,"","5000Vrms","2.5V ~ 5.5V"
Unidirectional,=Part Number,"35kV/µs",Datasheet,https://www.silabs.com/documents/public/data-sheets/si864x-datasheet.pdf,DigiKey Link,//digikey.com/product-detail/en/silicon-labs/SI8640BD-B-IS/336-2083-5-ND/2623331,"","","","","","","","","150Mbps",DGTL ISO 5KV 4CH GEN PURP 16SOIC,"16-SOIC (0.295, 7.50mm Width)",footprints/Leaded - SOIC/PCB - LEADED - SOIC - SI LABS SOIC-16 WIDE.PCBLIB,"","",SI LABS SOIC-16 WIDE,"","","4/0",No,"2019-12-06 05:53:14.687000","0",Silicon Labs,SI8640BD-B-IS,"1",Surface Mount,"4",-40°C ~ 125°C,"16-SOIC (0.295, 7.50mm Width)",Tube,"18",Active,"3.59","13ns, 13ns","4.5ns","2.5ns, 2.5ns",-,DigiKey,"336-2083-5-ND","","","","","","","","","","","16-SOIC",symbols/Digital Isolator/SCH - DIGITAL ISOLATOR - SI LABS SI8640.SCHLIB,SI LABS SI8640,Capacitive Coupling,General Purpose,"","5000Vrms","2.5V ~ 5.5V"
Unidirectional,=Part Number,"60kV/µs",Datasheet,https://www.silabs.com/documents/public/data-sheets/si864x-datasheet.pdf,DigiKey Link,//digikey.com/product-detail/en/silicon-labs/SI8640BT-IS/336-3424-5-ND/5604311,"","","","","","","","","150Mbps",DGTL ISO 5KV 4CH GEN PURP 16SOIC,"16-SOIC (0.295, 7.50mm Width)",footprints/Leaded - SOIC/PCB - LEADED - SOIC - SI LABS SOIC-16 WIDE.PCBLIB,"","",SI LABS SOIC-16 WIDE,"","","4/0",No,"2019-12-06 06:00:45.583000","0",Silicon Labs,SI8640BT-IS,"1",Surface Mount,"4",-40°C ~ 125°C,"16-SOIC (0.295, 7.50mm Width)",Tube,"19",Active,"4.21","13ns, 13ns","4.5ns","2.5ns, 2.5ns",-,DigiKey,"336-3424-5-ND","","","","","","","","","","","16-SOIC",symbols/Digital Isolator/SCH - DIGITAL ISOLATOR - SI LABS SI8640.SCHLIB,SI LABS SI8640,Capacitive Coupling,General Purpose,"","5000Vrms","2.5V ~ 5.5V"
Unidirectional,=Part Number,"60kV/µs",Datasheet,https://www.silabs.com/documents/public/data-sheets/si864x-datasheet.pdf,DigiKey Link,//digikey.com/product-detail/en/silicon-labs/SI8640ET-IS/336-3425-5-ND/5604312,"","","","","","","","","150Mbps",DGTL ISO 5KV 4CH GEN PURP 16SOIC,"16-SOIC (0.295, 7.50mm Width)",footprints/Leaded - SOIC/PCB - LEADED - SOIC - SI LABS SOIC-16 WIDE.PCBLIB,"","",SI LABS SOIC-16 WIDE,"","","4/0",No,"2019-12-06 06:01:24.290000","0",Silicon Labs,SI8640ET-IS,"1",Surface Mount,"4",-40°C ~ 125°C,"16-SOIC (0.295, 7.50mm Width)",Tube,"20",Active,"4.21","13ns, 13ns","4.5ns","2.5ns, 2.5ns",-,DigiKey,"336-3425-5-ND","","","","","","","","","","","16-SOIC",symbols/Digital Isolator/SCH - DIGITAL ISOLATOR - SI LABS SI8640.SCHLIB,SI LABS SI8640,Capacitive Coupling,General Purpose,"","5000Vrms","2.5V ~ 5.5V"
Unidirectional,=Part Number,"35kV/µs",Datasheet,https://www.silabs.com/documents/public/data-sheets/si864x-datasheet.pdf,DigiKey Link,//digikey.com/product-detail/en/silicon-labs/SI8641AB-B-ISR/336-4938-2-ND/4576598,"","","","","","","","","1Mbps",DGTL ISO 2.5KV GEN PURP 16SOIC,"16-SOIC (0.295, 7.50mm Width)",footprints/Leaded - SOIC/PCB - LEADED - SOIC - SI LABS SOIC-16 WIDE.PCBLIB,"","",SI LABS SOIC-16 WIDE,"","","3/1",No,"2019-12-06 06:29:43.490000","0",Silicon Labs,SI8641AB-B-ISR,"1",Surface Mount,"4",-40°C ~ 125°C,"16-SOIC (0.295, 7.50mm Width)",TapeAndReel,"21",Active,"1.63","35ns, 35ns","25ns","2.5ns, 2.5ns",-,DigiKey,"336-4938-2-ND","","","","","","","","","","","16-SOIC",symbols/Digital Isolator/SCH - DIGITAL ISOLATOR - SI LABS SI8641.SCHLIB,SI LABS SI8641,Capacitive Coupling,General Purpose,"","2500Vrms","2.5V ~ 5.5V"
Unidirectional,=Part Number,"35kV/µs",Datasheet,https://www.silabs.com/documents/public/data-sheets/si864x-datasheet.pdf,DigiKey Link,//digikey.com/product-detail/en/silicon-labs/SI8641BB-B-ISR/336-4783-2-ND/4576600,"","","","","","","","","150Mbps",DGTL ISO 2.5KV GEN PURP 16SOIC,"16-SOIC (0.295, 7.50mm Width)",footprints/Leaded - SOIC/PCB - LEADED - SOIC - SI LABS SOIC-16 WIDE.PCBLIB,"","",SI LABS SOIC-16 WIDE,"","","3/1",No,"2019-12-06 06:35:09.260000","0",Silicon Labs,SI8641BB-B-ISR,"1",Surface Mount,"4",-40°C ~ 125°C,"16-SOIC (0.295, 7.50mm Width)",TapeAndReel,"22",Active,"2.36","13ns, 13ns","4.5ns","2.5ns, 2.5ns",-,DigiKey,"336-4783-2-ND","","","","","","","","","","","16-SOIC",symbols/Digital Isolator/SCH - DIGITAL ISOLATOR - SI LABS SI8641.SCHLIB,SI LABS SI8641,Capacitive Coupling,General Purpose,"","2500Vrms","2.5V ~ 5.5V"
Unidirectional,=Part Number,"35kV/µs",Datasheet,https://www.silabs.com/documents/public/data-sheets/si864x-datasheet.pdf,DigiKey Link,//digikey.com/product-detail/en/silicon-labs/SI8641ED-B-IS/336-2090-5-ND/2623338,"","","","","","","","","150Mbps",DGTL ISO 5KV 4CH GEN PURP 16SOIC,"16-SOIC (0.295, 7.50mm Width)",footprints/Leaded - SOIC/PCB - LEADED - SOIC - SI LABS SOIC-16 WIDE.PCBLIB,"","",SI LABS SOIC-16 WIDE,"","","3/1",No,"2019-12-06 06:43:56.723000","0",Silicon Labs,SI8641ED-B-IS,"1",Surface Mount,"4",-40°C ~ 125°C,"16-SOIC (0.295, 7.50mm Width)",Tube,"23",Active,"3.59","13ns, 13ns","4.5ns","2.5ns, 2.5ns",-,DigiKey,"336-2090-5-ND","","","","","","","","","","","16-SOIC",symbols/Digital Isolator/SCH - DIGITAL ISOLATOR - SI LABS SI8641.SCHLIB,SI LABS SI8641,Capacitive Coupling,General Purpose,"","5000Vrms","2.5V ~ 5.5V"
Unidirectional,=Part Number,"35kV/µs",Datasheet,https://www.silabs.com/documents/public/data-sheets/si864x-datasheet.pdf,DigiKey Link,//digikey.com/product-detail/en/silicon-labs/SI8641BD-B-ISR/336-3911-2-ND/4069812,"","","","","","","","","150Mbps",DGTL ISO 5KV 4CH GEN PURP 16SOIC,"16-SOIC (0.295, 7.50mm Width)",footprints/Leaded - SOIC/PCB - LEADED - SOIC - SI LABS SOIC-16 WIDE.PCBLIB,"","",SI LABS SOIC-16 WIDE,"","","3/1",No,"2019-12-06 06:44:54.287000","0",Silicon Labs,SI8641BD-B-ISR,"1",Surface Mount,"4",-40°C ~ 125°C,"16-SOIC (0.295, 7.50mm Width)",TapeAndReel,"24",Active,"3.10","13ns, 13ns","4.5ns","2.5ns, 2.5ns",-,DigiKey,"336-3911-2-ND","","","","","","","","","","","16-SOIC",symbols/Digital Isolator/SCH - DIGITAL ISOLATOR - SI LABS SI8641.SCHLIB,SI LABS SI8641,Capacitive Coupling,General Purpose,"","5000Vrms","2.5V ~ 5.5V"
