"Comment","ComponentLink1Description","ComponentLink1URL","ComponentLink2Description","ComponentLink2URL","ComponentLink3Description","ComponentLink3URL","ComponentLink4Description","ComponentLink4URL","ComponentLink5Description","ComponentLink5URL","ComponentLink6Description","ComponentLink6URL","Composition","Description","Device Package","Failure Rate","Features","Footprint Path","Footprint Path 2","Footprint Path 3","Footprint Ref","Footprint Ref 2","Footprint Ref 3","Height - Seated (Max)","LastUpdated","Lifecycle Status","Manufacturer","Part Number","Minimum Order","Number of Terminations","Operating Temperature","Package / Case","Packaging","PartId","Part Status","Power (Watts)","Price","Ratings","Resistance","Series","Size / Dimension","Supplier 1","Supplier Part Number 1","Supplier 2","Supplier Part Number 2","Supplier 3","Supplier Part Number 3","Supplier 4","Supplier Part Number 4","Supplier 5","Supplier Part Number 5","Supplier 6","Supplier Part Number 6","Supplier Device Package","Library Path","Library Ref","Temperature Coefficient","Tolerance","Type","Value"
=Value,Datasheet,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1773269&DocType=DS&DocLang=English,DigiKey Link,http://digikey.com/product-detail/en/te-connectivity-passive-product/RL73N1ER68JTD/A138781CT-ND/9372182,"","","","","","","","",Thick Film,RES 0.68 OHM 5% 1/16W 0402,"0402 (1005 Metric)","",Current Sense,,,,STACKPOLE CSR0402,,,"0.017 (0.43mm)","2020-09-02 01:17:27.787000",Active,TE Connectivity Passive Product,RL73N1ER68JTD,"1","2",-55°C ~ 155°C,"0402 (1005 Metric)",TapeAndReel,"11",Active,"0.063W, 1/16W","0.03","","680m","RL73, CGS","0.039 L x 0.020 W (1.00mm x 0.50mm)",DigiKey,A138781CT-ND,"","","","","","","","","","","0402",,"resistors\Resistor,resistors\Resistor1",±300ppm/°C,±5%,"","680m"
=Value,Datasheet,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1773269&DocType=DS&DocLang=English,DigiKey Link,http://digikey.com/product-detail/en/te-connectivity-passive-product/RL73N1ER82JTD/A138782CT-ND/9372183,"","","","","","","","",Thick Film,RES 0.82 OHM 5% 1/16W 0402,"0402 (1005 Metric)","",Current Sense,,,,STACKPOLE CSR0402,,,"0.017 (0.43mm)","2020-09-02 01:17:27.783000",Active,TE Connectivity Passive Product,RL73N1ER82JTD,"1","2",-55°C ~ 155°C,"0402 (1005 Metric)",TapeAndReel,"12",Active,"0.063W, 1/16W","0.03","","820m","RL73, CGS","0.039 L x 0.020 W (1.00mm x 0.50mm)",DigiKey,A138782CT-ND,"","","","","","","","","","","0402",,"resistors\Resistor,resistors\Resistor1",±300ppm/°C,±5%,"","820m"
=Value,Datasheet,https://industrial.panasonic.com/cdbs/www-data/pdf/RDN0000/AOA0000C313.pdf,DigiKey Link,http://digikey.com/product-detail/en/panasonic-electronic-components/ERJ-2BQFR75X/P.75AKCT-ND/671292,"","","","","","","","",Thick Film,RES 0.75 OHM 1% 1/6W 0402,"0402 (1005 Metric)","","Automotive AEC-Q200, Current Sense",,,,STACKPOLE CSR0402,,,"0.016 (0.40mm)","2020-09-02 01:17:27.777000",Active,Panasonic Electronic Components,ERJ-2BQFR75X,"1","2",-55°C ~ 125°C,"0402 (1005 Metric)",TapeAndReel,"13",Active,"0.167W, 1/6W","0.06",AEC-Q200,"750m",ERJ,"0.039 L x 0.020 W (1.00mm x 0.50mm)",DigiKey,P.75AKCT-ND,"","","","","","","","","","","0402",,"resistors\Resistor,resistors\Resistor1",±250ppm/°C,±1%,"","750m"
=Value,Datasheet,https://industrial.panasonic.com/cdbs/www-data/pdf/RDN0000/AOA0000C313.pdf,DigiKey Link,http://digikey.com/product-detail/en/panasonic-electronic-components/ERJ-2BQFR91X/P.91AKCT-ND/671294,"","","","","","","","",Thick Film,RES 0.91 OHM 1% 1/6W 0402,"0402 (1005 Metric)","","Automotive AEC-Q200, Current Sense",,,,STACKPOLE CSR0402,,,"0.016 (0.40mm)","2020-09-02 01:17:27.773000",Active,Panasonic Electronic Components,ERJ-2BQFR91X,"1","2",-55°C ~ 125°C,"0402 (1005 Metric)",TapeAndReel,"14",Active,"0.167W, 1/6W","0.06",AEC-Q200,"910m",ERJ,"0.039 L x 0.020 W (1.00mm x 0.50mm)",DigiKey,P.91AKCT-ND,"","","","","","","","","","","0402",,"resistors\Resistor,resistors\Resistor1",±250ppm/°C,±1%,"","910m"
=Value,Datasheet,https://industrial.panasonic.com/cdbs/www-data/pdf/RDN0000/AOA0000C313.pdf,DigiKey Link,http://digikey.com/product-detail/en/panasonic-electronic-components/ERJ-2BQFR39X/P.39AKCT-ND/671285,"","","","","","","","",Thick Film,RES 0.39 OHM 1% 1/6W 0402,"0402 (1005 Metric)","","Automotive AEC-Q200, Current Sense",,,,STACKPOLE CSR0402,,,"0.016 (0.40mm)","2020-09-02 01:17:27.773000",Active,Panasonic Electronic Components,ERJ-2BQFR39X,"1","2",-55°C ~ 125°C,"0402 (1005 Metric)",TapeAndReel,"15",Active,"0.167W, 1/6W","0.06",AEC-Q200,"390m",ERJ,"0.039 L x 0.020 W (1.00mm x 0.50mm)",DigiKey,P.39AKCT-ND,"","","","","","","","","","","0402",,"resistors\Resistor,resistors\Resistor1",±250ppm/°C,±1%,"","390m"
=Value,Datasheet,https://industrial.panasonic.com/cdbs/www-data/pdf/RDN0000/AOA0000C313.pdf,DigiKey Link,http://digikey.com/product-detail/en/panasonic-electronic-components/ERJ-2BQFR56X/P.56AKCT-ND/671289,"","","","","","","","",Thick Film,RES 0.56 OHM 1% 1/6W 0402,"0402 (1005 Metric)","","Automotive AEC-Q200, Current Sense",,,,STACKPOLE CSR0402,,,"0.016 (0.40mm)","2020-09-02 01:17:27.767000",Active,Panasonic Electronic Components,ERJ-2BQFR56X,"1","2",-55°C ~ 125°C,"0402 (1005 Metric)",TapeAndReel,"16",Active,"0.167W, 1/6W","0.05",AEC-Q200,"560m",ERJ,"0.039 L x 0.020 W (1.00mm x 0.50mm)",DigiKey,P.56AKCT-ND,"","","","","","","","","","","0402",,"resistors\Resistor,resistors\Resistor1",±250ppm/°C,±1%,"","560m"
=Value,Datasheet,https://industrial.panasonic.com/cdbs/www-data/pdf/RDN0000/AOA0000C313.pdf,DigiKey Link,http://digikey.com/product-detail/en/panasonic-electronic-components/ERJ-2BQFR62X/P.62AKCT-ND/671290,"","","","","","","","",Thick Film,RES 0.62 OHM 1% 1/6W 0402,"0402 (1005 Metric)","","Automotive AEC-Q200, Current Sense",,,,STACKPOLE CSR0402,,,"0.016 (0.40mm)","2020-09-02 01:17:27.763000",Active,Panasonic Electronic Components,ERJ-2BQFR62X,"1","2",-55°C ~ 125°C,"0402 (1005 Metric)",TapeAndReel,"17",Active,"0.167W, 1/6W","0.05",AEC-Q200,"620m",ERJ,"0.039 L x 0.020 W (1.00mm x 0.50mm)",DigiKey,P.62AKCT-ND,"","","","","","","","","","","0402",,"resistors\Resistor,resistors\Resistor1",±250ppm/°C,±1%,"","620m"
=Value,Datasheet,https://industrial.panasonic.com/cdbs/www-data/pdf/RDN0000/AOA0000C313.pdf,DigiKey Link,http://digikey.com/product-detail/en/panasonic-electronic-components/ERJ-2BQFR24X/P.24AKCT-ND/671280,"","","","","","","","",Thick Film,RES 0.24 OHM 1% 1/6W 0402,"0402 (1005 Metric)","","Automotive AEC-Q200, Current Sense",,,,STACKPOLE CSR0402,,,"0.016 (0.40mm)","2020-09-02 01:17:27.760000",Active,Panasonic Electronic Components,ERJ-2BQFR24X,"1","2",-55°C ~ 125°C,"0402 (1005 Metric)",TapeAndReel,"18",Active,"0.167W, 1/6W","0.05",AEC-Q200,"240m",ERJ,"0.039 L x 0.020 W (1.00mm x 0.50mm)",DigiKey,P.24AKCT-ND,"","","","","","","","","","","0402",,"resistors\Resistor,resistors\Resistor1",±250ppm/°C,±1%,"","240m"
=Value,Datasheet,https://industrial.panasonic.com/cdbs/www-data/pdf/RDN0000/AOA0000C313.pdf,DigiKey Link,http://digikey.com/product-detail/en/panasonic-electronic-components/ERJ-2LWJR010X/P19188CT-ND/6004543,"","","","","","","","",Thick Film,RES 0.01 OHM 5% 1/5W 0402,"0402 (1005 Metric)","",Current Sense,,,,STACKPOLE CSR0402,,,"0.018 (0.45mm)","2020-09-02 01:17:27.757000",Active,Panasonic Electronic Components,ERJ-2LWJR010X,"1","2",-55°C ~ 125°C,"0402 (1005 Metric)",TapeAndReel,"19",Active,"0.2W, 1/5W","0.04",AEC-Q200,"10m",ERJ,"0.039 L x 0.020 W (1.00mm x 0.50mm)",DigiKey,P19188CT-ND,"","","","","","","","","","","0402",,"resistors\Resistor,resistors\Resistor1","",±5%,"","10m"
=Value,Datasheet,https://www.seielect.com/catalog/sei-csr_csrn.pdf,DigiKey Link,http://digikey.com/product-detail/en/stackpole-electronics-inc/CSR0402FKR250/CSR0402FKR250CT-ND/5251268,"","","","","","","","",Thick Film,RES 0.25 OHM 1% 1/8W 0402,"0402 (1005 Metric)","",Current Sense,,,,STACKPOLE CSR0402,,,"0.017 (0.43mm)","2020-09-02 01:17:27.753000",Active,Stackpole Electronics Inc,CSR0402FKR250,"1","2",-55°C ~ 155°C,"0402 (1005 Metric)",TapeAndReel,"20",Active,"0.125W, 1/8W","0.07","","250m",CSR,"0.039 L x 0.020 W (1.00mm x 0.50mm)",DigiKey,CSR0402FKR250CT-ND,"","","","","","","","","","","0402",,"resistors\Resistor,resistors\Resistor1",±200ppm/°C,±1%,"","250m"
=Value,Datasheet,http://www.koaspeer.com/catimages/Products/TLRZ/TLRZ.pdf,DigiKey Link,http://digikey.com/product-detail/en/koa-speer-electronics-inc/TLRZ1JTTD/2019-TLRZ1JTTDCT-ND/9847537,"","","","","","","","",Metal Element,RES 0 OHM JUMPER 0603,"0603 (1608 Metric)","","Automotive AEC-Q200, Current Sense",,,,STACKPOLE CSR0805,,,"0.022 (0.55mm)","2020-09-02 01:17:41.180000",Active,"KOA Speer Electronics, Inc.",TLRZ1JTTD,"1","2",-55°C ~ 170°C,"0603 (1608 Metric)",TapeAndReel,"21",Active,"","0.08",AEC-Q200,"",TLRZ,"0.063 L x 0.031 W (1.60mm x 0.80mm)",DigiKey,"2019-TLRZ1JTTDCT-ND","","","","","","","","","","","0603",,"resistors\Resistor,resistors\Resistor1","",Jumper,"",""
=Value,Datasheet,https://www.seielect.com/catalog/sei-csr_csrn.pdf,DigiKey Link,http://digikey.com/product-detail/en/stackpole-electronics-inc/CSR0402FKR100/CSR0402FKR100CT-ND/5251263,"","","","","","","","",Thick Film,RES 0.1 OHM 1% 1/8W 0402,"0402 (1005 Metric)","",Current Sense,,,,STACKPOLE CSR0402,,,"0.017 (0.43mm)","2020-09-02 01:17:27.750000",Active,Stackpole Electronics Inc,CSR0402FKR100,"1","2",-55°C ~ 155°C,"0402 (1005 Metric)",TapeAndReel,"22",Active,"0.125W, 1/8W","0.06","","100m",CSR,"0.039 L x 0.020 W (1.00mm x 0.50mm)",DigiKey,CSR0402FKR100CT-ND,"","","","","","","","","","","0402",,"resistors\Resistor,resistors\Resistor1",±200ppm/°C,±1%,"","100m"
=Value,Datasheet,https://industrial.panasonic.com/cdbs/www-data/pdf/RDN0000/AOA0000C313.pdf,DigiKey Link,http://digikey.com/product-detail/en/panasonic-electronic-components/ERJ-L03KF47MV/P47LJCT-ND/966118,"","","","","","","","",Thick Film,RES 0.047 OHM 1% 1/5W 0603,"0603 (1608 Metric)","","Automotive AEC-Q200, Current Sense",,,,STACKPOLE CSR0805,,,"0.022 (0.55mm)","2020-09-02 01:17:41.177000",Active,Panasonic Electronic Components,ERJ-L03KF47MV,"1","2",-55°C ~ 125°C,"0603 (1608 Metric)",TapeAndReel,"23",Active,"0.2W, 1/5W","0.09",AEC-Q200,"47m",ERJ,"0.063 L x 0.031 W (1.60mm x 0.80mm)",DigiKey,P47LJCT-ND,"","","","","","","","","","","0603",,"resistors\Resistor,resistors\Resistor1",±200ppm/°C,±1%,"","47m"
=Value,Datasheet,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1773269&DocType=DS&DocLang=English,DigiKey Link,http://digikey.com/product-detail/en/te-connectivity-passive-product/RLP73N1ER12JTD/A109728CT-ND/4032494,"","","","","","","","",Thick Film,RES 0.12 OHM 5% 1/8W 0402,"0402 (1005 Metric)","",Current Sense,,,,STACKPOLE CSR0402,,,"0.017 (0.43mm)","2020-09-02 01:17:27.747000",Active,TE Connectivity Passive Product,RLP73N1ER12JTD,"1","2",-55°C ~ 155°C,"0402 (1005 Metric)",TapeAndReel,"24",Active,"0.125W, 1/8W","0.04","","120m","RL73, CGS","0.039 L x 0.020 W (1.00mm x 0.50mm)",DigiKey,A109728CT-ND,"","","","","","","","","","","0402",,"resistors\Resistor,resistors\Resistor1",±300ppm/°C,±5%,"","120m"
=Value,Datasheet,https://industrial.panasonic.com/cdbs/www-data/pdf/RDN0000/AOA0000C313.pdf,DigiKey Link,http://digikey.com/product-detail/en/panasonic-electronic-components/ERJ-L03KF10CV/P100LJCT-ND/966121,"","","","","","","","",Thick Film,RES 0.1 OHM 1% 1/5W 0603,"0603 (1608 Metric)","","Automotive AEC-Q200, Current Sense",,,,STACKPOLE CSR0805,,,"0.022 (0.55mm)","2020-09-02 01:17:41.173000",Active,Panasonic Electronic Components,ERJ-L03KF10CV,"1","2",-55°C ~ 125°C,"0603 (1608 Metric)",TapeAndReel,"25",Active,"0.2W, 1/5W","0.09",AEC-Q200,"100m",ERJ,"0.063 L x 0.031 W (1.60mm x 0.80mm)",DigiKey,P100LJCT-ND,"","","","","","","","","","","0603",,"resistors\Resistor,resistors\Resistor1",±200ppm/°C,±1%,"","100m"
=Value,Datasheet,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1773269&DocType=DS&DocLang=English,DigiKey Link,http://digikey.com/product-detail/en/te-connectivity-passive-product/RLP73N1ER43JTD/A109741CT-ND/4032507,"","","","","","","","",Thick Film,RES 0.43 OHM 5% 1/8W 0402,"0402 (1005 Metric)","",Current Sense,,,,STACKPOLE CSR0402,,,"0.017 (0.43mm)","2020-09-02 01:17:27.743000",Active,TE Connectivity Passive Product,RLP73N1ER43JTD,"1","2",-55°C ~ 155°C,"0402 (1005 Metric)",TapeAndReel,"26",Active,"0.125W, 1/8W","0.04","","430m","RL73, CGS","0.039 L x 0.020 W (1.00mm x 0.50mm)",DigiKey,A109741CT-ND,"","","","","","","","","","","0402",,"resistors\Resistor,resistors\Resistor1",±300ppm/°C,±5%,"","430m"
=Value,Datasheet,https://www.bourns.com/docs/Product-Datasheets/crt.pdf,DigiKey Link,http://digikey.com/product-detail/en/bourns-inc/CRT0603-BY-10R0ELF/CRT0603-BY-10R0ELFCT-ND/1775043,"","","","","","","","",Thin Film,RES SMD 10 OHM 0.1% 1/10W 0603,"0603 (1608 Metric)","",Current Sense,,,,STACKPOLE CSR0805,,,"0.024 (0.60mm)","2020-09-02 01:17:41.167000",Active,Bourns Inc.,CRT0603-BY-10R0ELF,"1","2",-55°C ~ 155°C,"0603 (1608 Metric)",TapeAndReel,"27",Active,"0.1W, 1/10W","0.05","","10",CRT,"0.061 L x 0.031 W (1.55mm x 0.80mm)",DigiKey,CRT0603-BY-10R0ELFCT-ND,"","","","","","","","","","","0603",,"resistors\Resistor,resistors\Resistor1",±25ppm/°C,±0.1%,"","10"
=Value,Datasheet,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1773269&DocType=DS&DocLang=English,DigiKey Link,http://digikey.com/product-detail/en/te-connectivity-passive-product/RLP73N1ER20JTD/A109733CT-ND/4032499,"","","","","","","","",Thick Film,RES 0.2 OHM 5% 1/8W 0402,"0402 (1005 Metric)","",Current Sense,,,,STACKPOLE CSR0402,,,"0.017 (0.43mm)","2020-09-02 01:17:27.740000",Active,TE Connectivity Passive Product,RLP73N1ER20JTD,"1","2",-55°C ~ 155°C,"0402 (1005 Metric)",TapeAndReel,"28",Active,"0.125W, 1/8W","0.04","","200m","RL73, CGS","0.039 L x 0.020 W (1.00mm x 0.50mm)",DigiKey,A109733CT-ND,"","","","","","","","","","","0402",,"resistors\Resistor,resistors\Resistor1",±300ppm/°C,±5%,"","200m"
=Value,Datasheet,https://www.seielect.com/catalog/sei-csr_csrn.pdf,DigiKey Link,http://digikey.com/product-detail/en/stackpole-electronics-inc/CSR0603FK50L0/CSR0603FK50L0CT-ND/2217468,"","","","","","","","",Thick Film,RES 0.05 OHM 1% 1/8W 0603,"0603 (1608 Metric)","",Current Sense,,,,STACKPOLE CSR0805,,,"0.022 (0.55mm)","2020-09-02 01:17:41.163000",Active,Stackpole Electronics Inc,CSR0603FK50L0,"1","2",-55°C ~ 155°C,"0603 (1608 Metric)",TapeAndReel,"29",Active,"0.125W, 1/8W","0.10","","50m",CSR,"0.063 L x 0.031 W (1.60mm x 0.80mm)",DigiKey,CSR0603FK50L0CT-ND,"","","","","","","","","","","0603",,"resistors\Resistor,resistors\Resistor1",±300ppm/°C,±1%,"","50m"
=Value,Datasheet,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1773269&DocType=DS&DocLang=English,DigiKey Link,http://digikey.com/product-detail/en/te-connectivity-passive-product/RLP73N1ER47JTD/A109742CT-ND/4032508,"","","","","","","","",Thick Film,RES 0.47 OHM 5% 1/8W 0402,"0402 (1005 Metric)","",Current Sense,,,,STACKPOLE CSR0402,,,"0.017 (0.43mm)","2020-09-02 01:17:27.737000",Active,TE Connectivity Passive Product,RLP73N1ER47JTD,"1","2",-55°C ~ 155°C,"0402 (1005 Metric)",TapeAndReel,"30",Active,"0.125W, 1/8W","0.04","","470m","RL73, CGS","0.039 L x 0.020 W (1.00mm x 0.50mm)",DigiKey,A109742CT-ND,"","","","","","","","","","","0402",,"resistors\Resistor,resistors\Resistor1",±300ppm/°C,±5%,"","470m"
