"Comment","ComponentLink1Description","ComponentLink1URL","ComponentLink2Description","ComponentLink2URL","ComponentLink3Description","ComponentLink3URL","ComponentLink4Description","ComponentLink4URL","ComponentLink5Description","ComponentLink5URL","ComponentLink6Description","ComponentLink6URL","Composition","Description","Device Package","Failure Rate","Features","Footprint Path","Footprint Path 2","Footprint Path 3","Footprint Ref","Footprint Ref 2","Footprint Ref 3","Height - Seated (Max)","LastUpdated","Lifecycle Status","Manufacturer","Part Number","Minimum Order","Number of Terminations","Operating Temperature","Package / Case","Packaging","PartId","Part Status","Power (Watts)","Price","Ratings","Resistance","Series","Size / Dimension","Supplier 1","Supplier Part Number 1","Supplier 2","Supplier Part Number 2","Supplier 3","Supplier Part Number 3","Supplier 4","Supplier Part Number 4","Supplier 5","Supplier Part Number 5","Supplier 6","Supplier Part Number 6","Supplier Device Package","Library Path","Library Ref","Temperature Coefficient","Tolerance","Type","Value"
=Value,Datasheet,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AC_51_RoHS_L_7.pdf,DigiKey Link,http://digikey.com/product-detail/en/yageo/AC0201FR-0764K9L/YAG5231CT-ND/7063574,"","","","","","","","",Thick Film,RES SMD 64.9K OHM 1% 1/20W 0201,"0201 (0603 Metric)","","Automotive AEC-Q200, Moisture Resistant",,,,"R0201N,R0201L,R0201M",,,"0.010 (0.26mm)","2020-09-02 01:06:25.500000",Active,Yageo,AC0201FR-0764K9L,"1","2",-55°C ~ 155°C,"0201 (0603 Metric)",TapeAndReel,"11",Active,"0.05W, 1/20W","0.01",AEC-Q200,"64.9kOhms",AC,"0.024 L x 0.012 W (0.60mm x 0.30mm)",DigiKey,YAG5231CT-ND,"","","","","","","","","","","0201",,"resistors\Resistor,resistors\Resistor1",±200ppm/°C,±1%,"","64.9kOhms"
=Value,Datasheet,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,DigiKey Link,http://digikey.com/product-detail/en/panasonic-electronic-components/ERJ-1GNF4533C/P123023CT-ND/8342985,"","","","","","","","",Thick Film,RES SMD 453K OHM 1% 1/20W 0201,"0201 (0603 Metric)","",Automotive AEC-Q200,,,,"R0201N,R0201L,R0201M",,,"0.010 (0.26mm)","2020-09-02 01:06:25.497000",Active,Panasonic Electronic Components,ERJ-1GNF4533C,"1","2",-55°C ~ 125°C,"0201 (0603 Metric)",TapeAndReel,"12",Active,"0.05W, 1/20W","0.01",AEC-Q200,"453kOhms",ERJ,"0.024 L x 0.012 W (0.60mm x 0.30mm)",DigiKey,P123023CT-ND,"","","","","","","","","","","0201",,"resistors\Resistor,resistors\Resistor1",±200ppm/°C,±1%,"","453kOhms"
=Value,Datasheet,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,DigiKey Link,http://digikey.com/product-detail/en/panasonic-electronic-components/ERJ-1GNF3741C/P122972CT-ND/8342883,"","","","","","","","",Thick Film,RES SMD 3.74K OHM 1% 1/20W 0201,"0201 (0603 Metric)","",Automotive AEC-Q200,,,,"R0201N,R0201L,R0201M",,,"0.010 (0.26mm)","2020-09-02 01:06:25.493000",Active,Panasonic Electronic Components,ERJ-1GNF3741C,"1","2",-55°C ~ 125°C,"0201 (0603 Metric)",TapeAndReel,"13",Active,"0.05W, 1/20W","0.01",AEC-Q200,"3.74kOhms",ERJ,"0.024 L x 0.012 W (0.60mm x 0.30mm)",DigiKey,P122972CT-ND,"","","","","","","","","","","0201",,"resistors\Resistor,resistors\Resistor1",±200ppm/°C,±1%,"","3.74kOhms"
=Value,Datasheet,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,DigiKey Link,http://digikey.com/product-detail/en/panasonic-electronic-components/ERJ-1GNF7500C/P123149CT-ND/8343237,"","","","","","","","",Thick Film,RES SMD 750 OHM 1% 1/20W 0201,"0201 (0603 Metric)","",Automotive AEC-Q200,,,,"R0201N,R0201L,R0201M",,,"0.010 (0.26mm)","2020-09-02 01:06:25.490000",Active,Panasonic Electronic Components,ERJ-1GNF7500C,"1","2",-55°C ~ 125°C,"0201 (0603 Metric)",TapeAndReel,"14",Active,"0.05W, 1/20W","0.01",AEC-Q200,"750Ohms",ERJ,"0.024 L x 0.012 W (0.60mm x 0.30mm)",DigiKey,P123149CT-ND,"","","","","","","","","","","0201",,"resistors\Resistor,resistors\Resistor1",±200ppm/°C,±1%,"","750Ohms"
=Value,Datasheet,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_10.pdf,DigiKey Link,http://digikey.com/product-detail/en/yageo/RC0201FR-072K43L/YAG2575CT-ND/5281439,"","","","","","","","",Thick Film,RES SMD 2.43K OHM 1% 1/20W 0201,"0201 (0603 Metric)","",Moisture Resistant,,,,"R0201N,R0201L,R0201M",,,"0.010 (0.26mm)","2020-09-02 01:06:25.487000",Active,Yageo,RC0201FR-072K43L,"1","2",-55°C ~ 125°C,"0201 (0603 Metric)",CutTape,"15",Active,"0.05W, 1/20W","0.10","","2.43kOhms",RC,"0.024 L x 0.012 W (0.60mm x 0.30mm)",DigiKey,YAG2575CT-ND,"","","","","","","","","","","0201",,"resistors\Resistor,resistors\Resistor1",±200ppm/°C,±1%,"","2.43kOhms"
=Value,Datasheet,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_10.pdf,DigiKey Link,http://digikey.com/product-detail/en/yageo/RC0201JR-0762KL/YAG2917CT-ND/5281782,"","","","","","","","",Thick Film,RES SMD 62K OHM 5% 1/20W 0201,"0201 (0603 Metric)","",Moisture Resistant,,,,"R0201N,R0201L,R0201M",,,"0.010 (0.26mm)","2020-09-02 01:06:25.483000",Active,Yageo,RC0201JR-0762KL,"1","2",-55°C ~ 125°C,"0201 (0603 Metric)",CutTape,"16",Active,"0.05W, 1/20W","0.10","","62kOhms",RC,"0.024 L x 0.012 W (0.60mm x 0.30mm)",DigiKey,YAG2917CT-ND,"","","","","","","","","","","0201",,"resistors\Resistor,resistors\Resistor1",±200ppm/°C,±5%,"","62kOhms"
=Value,Datasheet,https://www.seielect.com/catalog/sei-packaging.pdf,DigiKey Link,http://digikey.com/product-detail/en/stackpole-electronics-inc/RMCF0201JT1K60/RMCF0201JT1K60CT-ND/5967179,"","","","","","","","",Thick Film,RES 1.6K OHM 5% 1/20W 0201,"0201 (0603 Metric)","","",,,,"R0201N,R0201L,R0201M",,,"0.010 (0.26mm)","2020-09-02 01:06:25.480000",Active,Stackpole Electronics Inc,RMCF0201JT1K60,"1","2",-55°C ~ 125°C,"0201 (0603 Metric)",CutTape,"17",Active,"0.05W, 1/20W","0.10","","1.6kOhms",RMCF,"0.024 L x 0.012 W (0.60mm x 0.30mm)",DigiKey,RMCF0201JT1K60CT-ND,"","","","","","","","","","","0201",,"resistors\Resistor,resistors\Resistor1",±200ppm/°C,±5%,"","1.6kOhms"
=Value,Datasheet,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,DigiKey Link,http://digikey.com/product-detail/en/panasonic-electronic-components/ERJ-1GNF6490C/P123114CT-ND/8343167,"","","","","","","","",Thick Film,RES SMD 649 OHM 1% 1/20W 0201,"0201 (0603 Metric)","",Automotive AEC-Q200,,,,"R0201N,R0201L,R0201M",,,"0.010 (0.26mm)","2020-09-02 01:06:25.473000",Active,Panasonic Electronic Components,ERJ-1GNF6490C,"1","2",-55°C ~ 125°C,"0201 (0603 Metric)",TapeAndReel,"18",Active,"0.05W, 1/20W","0.01",AEC-Q200,"649Ohms",ERJ,"0.024 L x 0.012 W (0.60mm x 0.30mm)",DigiKey,P123114CT-ND,"","","","","","","","","","","0201",,"resistors\Resistor,resistors\Resistor1",±200ppm/°C,±1%,"","649Ohms"
=Value,Datasheet,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_10.pdf,DigiKey Link,http://digikey.com/product-detail/en/yageo/RC0201JR-0743RL/YAG2902CT-ND/5281767,"","","","","","","","",Thick Film,RES SMD 43 OHM 5% 1/20W 0201,"0201 (0603 Metric)","",Moisture Resistant,,,,"R0201N,R0201L,R0201M",,,"0.010 (0.26mm)","2020-09-02 01:06:25.470000",Active,Yageo,RC0201JR-0743RL,"1","2",-55°C ~ 125°C,"0201 (0603 Metric)",CutTape,"19",Active,"0.05W, 1/20W","0.10","","43Ohms",RC,"0.024 L x 0.012 W (0.60mm x 0.30mm)",DigiKey,YAG2902CT-ND,"","","","","","","","","","","0201",,"resistors\Resistor,resistors\Resistor1",±200ppm/°C,±5%,"","43Ohms"
=Value,Datasheet,http://www.koaspeer.com/catimages/Products/RK73H/RK73H.pdf,DigiKey Link,http://digikey.com/product-detail/en/koa-speer-electronics-inc/RK73H1HTTC2740F/2019-RK73H1HTTC2740FCT-ND/9845788,"","","","","","","","",Thick Film,RES 274 OHM 1% 1/20W 0201,"0201 (0603 Metric)","","Automotive AEC-Q200, Moisture Resistant",,,,"R0201N,R0201L,R0201M",,,"0.010 (0.26mm)","2020-09-02 01:06:25.467000",Active,"KOA Speer Electronics, Inc.",RK73H1HTTC2740F,"1","2",-55°C ~ 155°C,"0201 (0603 Metric)",TapeAndReel,"20",Active,"0.05W, 1/20W","0.01",AEC-Q200,"274Ohms",RK73H,"0.024 L x 0.012 W (0.60mm x 0.30mm)",DigiKey,"2019-RK73H1HTTC2740FCT-ND","","","","","","","","","","","0201",,"resistors\Resistor,resistors\Resistor1",±200ppm/°C,±1%,"","274Ohms"
=Value,Datasheet,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,DigiKey Link,http://digikey.com/product-detail/en/panasonic-electronic-components/ERJ-1GNF3012C/P122917CT-ND/8342773,"","","","","","","","",Thick Film,RES SMD 30.1K OHM 1% 1/20W 0201,"0201 (0603 Metric)","",Automotive AEC-Q200,,,,"R0201N,R0201L,R0201M",,,"0.010 (0.26mm)","2020-09-02 01:06:25.463000",Active,Panasonic Electronic Components,ERJ-1GNF3012C,"1","2",-55°C ~ 125°C,"0201 (0603 Metric)",TapeAndReel,"21",Active,"0.05W, 1/20W","0.01",AEC-Q200,"30.1kOhms",ERJ,"0.024 L x 0.012 W (0.60mm x 0.30mm)",DigiKey,P122917CT-ND,"","","","","","","","","","","0201",,"resistors\Resistor,resistors\Resistor1",±200ppm/°C,±1%,"","30.1kOhms"
=Value,Datasheet,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_10.pdf,DigiKey Link,http://digikey.com/product-detail/en/yageo/RC0201JR-074R3L/YAG2905CT-ND/5281770,"","","","","","","","",Thick Film,RES SMD 4.3 OHM 5% 1/20W 0201,"0201 (0603 Metric)","",Moisture Resistant,,,,"R0201N,R0201L,R0201M",,,"0.010 (0.26mm)","2020-09-02 01:06:25.460000",Active,Yageo,RC0201JR-074R3L,"1","2",-55°C ~ 125°C,"0201 (0603 Metric)",CutTape,"22",Active,"0.05W, 1/20W","0.10","","4.3Ohms",RC,"0.024 L x 0.012 W (0.60mm x 0.30mm)",DigiKey,YAG2905CT-ND,"","","","","","","","","","","0201",,"resistors\Resistor,resistors\Resistor1",-100/ +350ppm/°C,±5%,"","4.3Ohms"
=Value,Datasheet,https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf,DigiKey Link,http://digikey.com/product-detail/en/stackpole-electronics-inc/RMCF0201FT2K20/RMCF0201FT2K20CT-ND/3905971,"","","","","","","","",Thick Film,RES 2.2K OHM 1% 1/20W 0201,"0201 (0603 Metric)","","",,,,"R0201N,R0201L,R0201M",,,"0.010 (0.26mm)","2020-09-02 01:06:25.457000",Active,Stackpole Electronics Inc,RMCF0201FT2K20,"1","2",-55°C ~ 125°C,"0201 (0603 Metric)",CutTape,"23",Active,"0.05W, 1/20W","0.10","","2.2kOhms",RMCF,"0.024 L x 0.012 W (0.60mm x 0.30mm)",DigiKey,RMCF0201FT2K20CT-ND,"","","","","","","","","","","0201",,"resistors\Resistor,resistors\Resistor1",±200ppm/°C,±1%,"","2.2kOhms"
=Value,Datasheet,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_10.pdf,DigiKey Link,http://digikey.com/product-detail/en/yageo/RC0201FR-07475KL/YAG2690CT-ND/5281554,"","","","","","","","",Thick Film,RES SMD 475K OHM 1% 1/20W 0201,"0201 (0603 Metric)","",Moisture Resistant,,,,"R0201N,R0201L,R0201M",,,"0.010 (0.26mm)","2020-09-02 01:06:25.453000",Active,Yageo,RC0201FR-07475KL,"1","2",-55°C ~ 125°C,"0201 (0603 Metric)",CutTape,"24",Active,"0.05W, 1/20W","0.10","","475kOhms",RC,"0.024 L x 0.012 W (0.60mm x 0.30mm)",DigiKey,YAG2690CT-ND,"","","","","","","","","","","0201",,"resistors\Resistor,resistors\Resistor1",±200ppm/°C,±1%,"","475kOhms"
=Value,Datasheet,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_10.pdf,DigiKey Link,http://digikey.com/product-detail/en/yageo/RC0201FR-07442KL/YAG2676CT-ND/5281540,"","","","","","","","",Thick Film,RES SMD 442K OHM 1% 1/20W 0201,"0201 (0603 Metric)","",Moisture Resistant,,,,"R0201N,R0201L,R0201M",,,"0.010 (0.26mm)","2020-09-02 01:06:25.450000",Active,Yageo,RC0201FR-07442KL,"1","2",-55°C ~ 125°C,"0201 (0603 Metric)",CutTape,"25",Active,"0.05W, 1/20W","0.10","","442kOhms",RC,"0.024 L x 0.012 W (0.60mm x 0.30mm)",DigiKey,YAG2676CT-ND,"","","","","","","","","","","0201",,"resistors\Resistor,resistors\Resistor1",±200ppm/°C,±1%,"","442kOhms"
=Value,Datasheet,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_10.pdf,DigiKey Link,http://digikey.com/product-detail/en/yageo/RC0201JR-07180KL/YAG2356CT-ND/5281222,"","","","","","","","",Thick Film,RES SMD 180K OHM 5% 1/20W 0201,"0201 (0603 Metric)","",Moisture Resistant,,,,"R0201N,R0201L,R0201M",,,"0.010 (0.26mm)","2020-09-02 01:06:25.447000",Active,Yageo,RC0201JR-07180KL,"1","2",-55°C ~ 125°C,"0201 (0603 Metric)",CutTape,"26",Active,"0.05W, 1/20W","0.10","","180kOhms",RC,"0.024 L x 0.012 W (0.60mm x 0.30mm)",DigiKey,YAG2356CT-ND,"","","","","","","","","","","0201",,"resistors\Resistor,resistors\Resistor1",±200ppm/°C,±5%,"","180kOhms"
=Value,Datasheet,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_10.pdf,DigiKey Link,http://digikey.com/product-detail/en/yageo/RC0201FR-07147RL/YAG2410CT-ND/5281274,"","","","","","","","",Thick Film,RES SMD 147 OHM 1% 1/20W 0201,"0201 (0603 Metric)","",Moisture Resistant,,,,"R0201N,R0201L,R0201M",,,"0.010 (0.26mm)","2020-09-02 01:06:25.443000",Active,Yageo,RC0201FR-07147RL,"1","2",-55°C ~ 125°C,"0201 (0603 Metric)",CutTape,"27",Active,"0.05W, 1/20W","0.10","","147Ohms",RC,"0.024 L x 0.012 W (0.60mm x 0.30mm)",DigiKey,YAG2410CT-ND,"","","","","","","","","","","0201",,"resistors\Resistor,resistors\Resistor1",±200ppm/°C,±1%,"","147Ohms"
=Value,Datasheet,http://www.vishay.com/docs/20052/crcw0201e3.pdf,DigiKey Link,http://digikey.com/product-detail/en/vishay-dale/CRCW0201680RJNED/541-680AGCT-ND/1183564,"","","","","","","","",Thick Film,RES SMD 680 OHM 5% 1/20W 0201,"0201 (0603 Metric)","","",,,,"R0201N,R0201L,R0201M",,,"0.011 (0.28mm)","2020-09-02 01:06:25.440000",Active,Vishay Dale,CRCW0201680RJNED,"1","2",-55°C ~ 155°C,"0201 (0603 Metric)",CutTape,"28",Active,"0.05W, 1/20W","0.14","","680Ohms",CRCW,"0.024 L x 0.012 W (0.60mm x 0.30mm)",DigiKey,"541-680AGCT-ND","","","","","","","","","","","0201",,"resistors\Resistor,resistors\Resistor1",±200ppm/°C,±5%,"","680Ohms"
=Value,Datasheet,http://www.vishay.com/docs/20052/crcw0201e3.pdf,DigiKey Link,http://digikey.com/product-detail/en/vishay-dale/CRCW020110K0FKED/541-10.0KAABCT-ND/1968173,"","","","","","","","",Thick Film,RES SMD 10K OHM 1% 1/20W 0201,"0201 (0603 Metric)","","",,,,"R0201N,R0201L,R0201M",,,"0.011 (0.28mm)","2020-09-02 01:06:25.433000",Active,Vishay Dale,CRCW020110K0FKED,"1","2",-55°C ~ 155°C,"0201 (0603 Metric)",TapeAndReel,"29",Active,"0.05W, 1/20W","0.03","","10kOhms",CRCW,"0.024 L x 0.012 W (0.60mm x 0.30mm)",DigiKey,"541-10.0KAABCT-ND","","","","","","","","","","","0201",,"resistors\Resistor,resistors\Resistor1",±100ppm/°C,±1%,"","10kOhms"
=Value,Datasheet,http://www.vishay.com/docs/20052/crcw0201e3.pdf,DigiKey Link,http://digikey.com/product-detail/en/vishay-dale/CRCW02011M00FKED/541-1.00MAABCT-ND/1968187,"","","","","","","","",Thick Film,RES SMD 1M OHM 1% 1/20W 0201,"0201 (0603 Metric)","","",,,,"R0201N,R0201L,R0201M",,,"0.011 (0.28mm)","2020-09-02 01:06:25.430000",Active,Vishay Dale,CRCW02011M00FKED,"1","2",-55°C ~ 155°C,"0201 (0603 Metric)",TapeAndReel,"30",Active,"0.05W, 1/20W","0.03","","1MOhms",CRCW,"0.024 L x 0.012 W (0.60mm x 0.30mm)",DigiKey,"541-1.00MAABCT-ND","","","","","","","","","","","0201",,"resistors\Resistor,resistors\Resistor1",±100ppm/°C,±1%,"","1MOhms"
