"Comment","ComponentLink1Description","ComponentLink1URL","ComponentLink2Description","ComponentLink2URL","ComponentLink3Description","ComponentLink3URL","ComponentLink4Description","ComponentLink4URL","ComponentLink5Description","ComponentLink5URL","ComponentLink6Description","ComponentLink6URL","Current - Continuous Drain (Id) @ 25°C","Description","Device Package","Drain to Source Voltage (Vdss)","Drive Voltage (Max Rds On,  Min Rds On)","FET Feature","FET Type","Footprint Path","Footprint Path 2","Footprint Path 3","Footprint Ref","Footprint Ref 2","Footprint Ref 3","Gate Charge (Qg) (Max) @ Vgs","Input Capacitance (Ciss) (Max) @ Vds","LastUpdated","Lifecycle Status","Manufacturer","Part Number","Minimum Order","Mounting Type","Operating Temperature","Package / Case","Packaging","Part Status","Power Dissipation (Max)","Price","Rds On (Max) @ Id, Vgs","Series","Supplier 1","Supplier Part Number 1","Supplier 2","Supplier Part Number 2","Supplier 3","Supplier Part Number 3","Supplier 4","Supplier Part Number 4","Supplier 5","Supplier Part Number 5","Supplier 6","Supplier Part Number 6","Supplier Device Package","Library Path","Library Ref","Technology","Type","Value","Vgs (Max)","Vgs(th) (Max) @ Id"
=Part Number,Datasheet,https://www.infineon.com/dgdl/BSC100N10NSF+Rev2.06.pdf?folderId=db3a304313b8b5a60113cee8763b02d7&fileId=db3a30431b3e89eb011b49a75b607b57,DigiKey Link,http://digikey.com/product-detail/en/infineon-technologies/BSC100N10NSFGATMA1/BSC100N10NSFGATMA1CT-ND/2344847,"","","","","","","","","11.4A (Ta), 90A (Tc)",MOSFET N-CH 100V 90A TDSON-8,"","100V","10V","",N-Channel,footprints/Leadless - SON/PCB - LEADLESS - SON - INFINEON PG-TDSON-8 6.15X5.32MM.PCBLIB,"","",INFINEON PG-TDSON-8 6.15X5.32MM,"","","44nC @ 10V","2900pF @ 50V","2020-09-02 01:27:15.647000",Active,Infineon Technologies,BSC100N10NSFGATMA1,"1",Surface Mount,-55°C ~ 150°C (TJ),"8-PowerTDFN",TapeAndReel,Active,"156W (Tc)","0.90","10mOhm @ 25A, 10V",OptiMOS™,DigiKey,BSC100N10NSFGATMA1CT-ND,"","","","","","","","","","",PG-TDSON-8-1,symbols/FET - N-CH/SCH - FET - N-CH - INFINEON BSC MOSFET N-CH.SCHLIB,INFINEON BSC MOSFET N-CH,MOSFET (Metal Oxide),"","",±20V,"4V @ 110µA"
=Part Number,Datasheet,https://www.infineon.com/dgdl/BSC016N04LSG_rev1.6.pdf?folderId=db3a304313b8b5a60113cee8763b02d7&fileId=db3a304318a6cd680118efe284830226,DigiKey Link,http://digikey.com/product-detail/en/infineon-technologies/BSC016N04LSGATMA1/BSC016N04LSGATMA1TR-ND/2080610,"","","","","","","","","31A (Ta), 100A (Tc)",MOSFET N-CH 40V 100A TDSON-8,"","40V","4.5V, 10V","",N-Channel,footprints/Leadless - SON/PCB - LEADLESS - SON - INFINEON PG-TDSON-8 6.15X5.32MM.PCBLIB,"","",INFINEON PG-TDSON-8 6.15X5.32MM,"","","150nC @ 10V","12000pF @ 20V","2020-09-02 01:27:15.643000",Active,Infineon Technologies,BSC016N04LSGATMA1,"",Surface Mount,-55°C ~ 150°C (TJ),"8-PowerTDFN",TapeAndReel,Active,"2.5W (Ta), 139W (Tc)","0.91","1.6mOhm @ 50A, 10V",OptiMOS™,DigiKey,BSC016N04LSGATMA1TR-ND,"","","","","","","","","","",PG-TDSON-8-1,symbols/FET - N-CH/SCH - FET - N-CH - INFINEON BSC MOSFET N-CH.SCHLIB,INFINEON BSC MOSFET N-CH,MOSFET (Metal Oxide),"","",±20V,"2V @ 85µA"
=Part Number,Datasheet,https://www.infineon.com/dgdl/BSC042NE7NS3G_Rev2.21.pdf?folderId=db3a304313b8b5a60113cee8763b02d7&fileId=db3a304320d39d590121a5f8baf30c25,DigiKey Link,http://digikey.com/product-detail/en/infineon-technologies/BSC042NE7NS3GATMA1/BSC042NE7NS3GATMA1CT-ND/2344845,"","","","","","","","","19A (Ta), 100A (Tc)",MOSFET N-CH 75V 100A TDSON-8,"","75V","10V","",N-Channel,footprints/Leadless - SON/PCB - LEADLESS - SON - INFINEON PG-TDSON-8 6.15X5.32MM.PCBLIB,"","",INFINEON PG-TDSON-8 6.15X5.32MM,"","","69nC @ 10V","4800pF @ 37.5V","2020-09-02 01:27:15.633000",Active,Infineon Technologies,BSC042NE7NS3GATMA1,"1",Surface Mount,-55°C ~ 150°C (TJ),"8-PowerTDFN",TapeAndReel,Active,"2.5W (Ta), 125W (Tc)","1.05","4.2mOhm @ 50A, 10V",OptiMOS™,DigiKey,BSC042NE7NS3GATMA1CT-ND,"","","","","","","","","","",PG-TDSON-8-1,symbols/FET - N-CH/SCH - FET - N-CH - INFINEON BSC MOSFET N-CH.SCHLIB,INFINEON BSC MOSFET N-CH,MOSFET (Metal Oxide),"","",±20V,"3.8V @ 91µA"
=Part Number,Datasheet,https://www.infineon.com/dgdl/Infineon-BSC670N25NSFD-DS-v02_01-EN.pdf?fileId=5546d46259b0420a0159d61b96e90ee7,DigiKey Link,http://digikey.com/product-detail/en/infineon-technologies/BSC670N25NSFDATMA1/BSC670N25NSFDATMA1CT-ND/7384939,"","","","","","","","","24A (Tc)",MOSFET N-CH 250V 24A 8TDSON,"","250V","10V","",N-Channel,footprints/Leadless - SON/PCB - LEADLESS - SON - INFINEON PG-TDSON-8 6.15X5.32MM.PCBLIB,"","",INFINEON PG-TDSON-8 6.15X5.32MM,"","","30nC @ 10V","2410pF @ 125V","2020-09-02 01:27:15.630000",Active,Infineon Technologies,BSC670N25NSFDATMA1,"1",Surface Mount,-55°C ~ 175°C (TJ),"8-PowerTDFN",TapeAndReel,Active,"150W (Tc)","1.27","67mOhm @ 24A, 10V",OptiMOS™,DigiKey,BSC670N25NSFDATMA1CT-ND,"","","","","","","","","","",PG-TDSON-8-1,symbols/FET - N-CH/SCH - FET - N-CH - INFINEON BSC MOSFET N-CH.SCHLIB,INFINEON BSC MOSFET N-CH,MOSFET (Metal Oxide),"","",±20V,"4V @ 90µA"
=Part Number,Datasheet,https://www.infineon.com/dgdl/BSC600N25NS3+G+Rev2.3.pdf?folderId=db3a3043163797a6011637d4bae7003b&fileId=db3a3043243b5f17012496ab13871948,DigiKey Link,http://digikey.com/product-detail/en/infineon-technologies/BSC600N25NS3GATMA1/BSC600N25NS3GATMA1CT-ND/2344851,"","","","","","","","","25A (Tc)",MOSFET N-CH 250V 25A TDSON-8,"","250V","10V","",N-Channel,footprints/Leadless - SON/PCB - LEADLESS - SON - INFINEON PG-TDSON-8 6.15X5.32MM.PCBLIB,"","",INFINEON PG-TDSON-8 6.15X5.32MM,"","","29nC @ 10V","2350pF @ 100V","2020-09-02 01:27:15.627000",Active,Infineon Technologies,BSC600N25NS3GATMA1,"1",Surface Mount,-55°C ~ 150°C (TJ),"8-PowerTDFN",TapeAndReel,Active,"125W (Tc)","1.25","60mOhm @ 25A, 10V",OptiMOS™,DigiKey,BSC600N25NS3GATMA1CT-ND,"","","","","","","","","","",PG-TDSON-8-1,symbols/FET - N-CH/SCH - FET - N-CH - INFINEON BSC MOSFET N-CH.SCHLIB,INFINEON BSC MOSFET N-CH,MOSFET (Metal Oxide),"","",±20V,"4V @ 90µA"
=Part Number,Datasheet,https://www.infineon.com/dgdl/BSC190N15NS3_Rev2.4.pdf?folderId=db3a304313b8b5a60113cee8763b02d7&fileId=db3a30431d8a6b3c011d8bf2fcf30076,DigiKey Link,http://digikey.com/product-detail/en/infineon-technologies/BSC190N15NS3GATMA1/BSC190N15NS3GATMA1CT-ND/2231043,"","","","","","","","","50A (Tc)",MOSFET N-CH 150V 50A TDSON-8,"","150V","8V, 10V","",N-Channel,footprints/Leadless - SON/PCB - LEADLESS - SON - INFINEON PG-TDSON-8 6.15X5.32MM.PCBLIB,"","",INFINEON PG-TDSON-8 6.15X5.32MM,"","","31nC @ 10V","2420pF @ 75V","2020-09-02 01:27:15.617000",Active,Infineon Technologies,BSC190N15NS3GATMA1,"1",Surface Mount,-55°C ~ 150°C (TJ),"8-PowerTDFN",TapeAndReel,Active,"125W (Tc)","1.15","19mOhm @ 50A, 10V",OptiMOS™,DigiKey,BSC190N15NS3GATMA1CT-ND,"","","","","","","","","","",PG-TDSON-8-1,symbols/FET - N-CH/SCH - FET - N-CH - INFINEON BSC MOSFET N-CH.SCHLIB,INFINEON BSC MOSFET N-CH,MOSFET (Metal Oxide),"","",±20V,"4V @ 90µA"
=Part Number,Datasheet,https://www.infineon.com/dgdl/BSC320N20NS3+G+Rev2.2.pdf?folderId=db3a3043163797a6011637d4bae7003b&fileId=db3a3043243b5f17012495e37b301571,DigiKey Link,http://digikey.com/product-detail/en/infineon-technologies/BSC320N20NS3GATMA1/BSC320N20NS3GATMA1CT-ND/2344849,"","","","","","","","","36A (Tc)",MOSFET N-CH 200V 36A TDSON-8,"","200V","10V","",N-Channel,footprints/Leadless - SON/PCB - LEADLESS - SON - INFINEON PG-TDSON-8 6.15X5.32MM.PCBLIB,"","",INFINEON PG-TDSON-8 6.15X5.32MM,"","","29nC @ 10V","2350pF @ 100V","2020-09-02 01:27:15.610000",Active,Infineon Technologies,BSC320N20NS3GATMA1,"1",Surface Mount,-55°C ~ 150°C (TJ),"8-PowerTDFN",TapeAndReel,Active,"125W (Tc)","1.22","32mOhm @ 36A, 10V",OptiMOS™,DigiKey,BSC320N20NS3GATMA1CT-ND,"","","","","","","","","","",PG-TDSON-8-1,symbols/FET - N-CH/SCH - FET - N-CH - INFINEON BSC MOSFET N-CH.SCHLIB,INFINEON BSC MOSFET N-CH,MOSFET (Metal Oxide),"","",±20V,"4V @ 90µA"
=Part Number,Datasheet,https://www.infineon.com/dgdl/BSC190N12NS3+Rev2.5.pdf?folderId=db3a304313b8b5a60113cee8763b02d7&fileId=db3a30432239cccd0122a7bb1e767d49,DigiKey Link,http://digikey.com/product-detail/en/infineon-technologies/BSC190N12NS3GATMA1/BSC190N12NS3GATMA1CT-ND/2344848,"","","","","","","","","8.6A (Ta), 44A (Tc)",MOSFET N-CH 120V 44A TDSON-8,"","120V","10V","",N-Channel,footprints/Leadless - SON/PCB - LEADLESS - SON - INFINEON PG-TDSON-8 6.15X5.32MM.PCBLIB,"","",INFINEON PG-TDSON-8 6.15X5.32MM,"","","34nC @ 10V","2300pF @ 60V","2020-09-02 01:27:15.600000",Active,Infineon Technologies,BSC190N12NS3GATMA1,"1",Surface Mount,-55°C ~ 150°C (TJ),"8-PowerTDFN",TapeAndReel,Active,"69W (Tc)","0.61","19mOhm @ 39A, 10V",OptiMOS™,DigiKey,BSC190N12NS3GATMA1CT-ND,"","","","","","","","","","",PG-TDSON-8-1,symbols/FET - N-CH/SCH - FET - N-CH - INFINEON BSC MOSFET N-CH.SCHLIB,INFINEON BSC MOSFET N-CH,MOSFET (Metal Oxide),"","",±20V,"4V @ 42µA"
=Part Number,Datasheet,https://www.infineon.com/dgdl/BSC011N03LS_Rev+1.2.pdf?folderId=db3a304313b8b5a60113cee8763b02d7&fileId=db3a30432c64a60d012cbb2c20ff02a0,DigiKey Link,http://digikey.com/product-detail/en/infineon-technologies/BSC011N03LSATMA1/BSC011N03LSATMA1CT-ND/2527835,"","","","","","","","","37A (Ta), 100A (Tc)",MOSFET N-CH 30V 100A 8TDSON,"","30V","4.5V, 10V","",N-Channel,footprints/Leadless - SON/PCB - LEADLESS - SON - INFINEON PG-TDSON-8 6.15X5.32MM.PCBLIB,"","",INFINEON PG-TDSON-8 6.15X5.32MM,"","","72nC @ 10V","4700pF @ 15V","2020-09-02 01:27:15.593000",Active,Infineon Technologies,BSC011N03LSATMA1,"1",Surface Mount,-55°C ~ 150°C (TJ),"8-PowerTDFN",TapeAndReel,Active,"2.5W (Ta), 96W (Tc)","0.62","1.1mOhm @ 30A, 10V",OptiMOS™,DigiKey,BSC011N03LSATMA1CT-ND,"","","","","","","","","","",PG-TDSON-8-1,symbols/FET - N-CH/SCH - FET - N-CH - INFINEON BSC MOSFET N-CH.SCHLIB,INFINEON BSC MOSFET N-CH,MOSFET (Metal Oxide),"","",±20V,"2.2V @ 250µA"
=Part Number,Datasheet,https://www.infineon.com/dgdl/Infineon-BSC13DN30NSFD-DS-v02_01-EN.pdf?fileId=5546d46259b0420a0159d5c940fc0d9a,DigiKey Link,http://digikey.com/product-detail/en/infineon-technologies/BSC13DN30NSFDATMA1/BSC13DN30NSFDATMA1CT-ND/7384937,"","","","","","","","","16A (Tc)",MOSFET N-CH 300V 16A 8TDSON,"","300V","10V","",N-Channel,footprints/Leadless - SON/PCB - LEADLESS - SON - INFINEON PG-TDSON-8 6.15X5.32MM.PCBLIB,"","",INFINEON PG-TDSON-8 6.15X5.32MM,"","","30nC @ 10V","2450pF @ 150V","2020-09-02 01:27:15.583000",Active,Infineon Technologies,BSC13DN30NSFDATMA1,"1",Surface Mount,-55°C ~ 175°C (TJ),"8-PowerTDFN",TapeAndReel,Active,"150W (Tc)","1.28","130mOhm @ 16A, 10V",OptiMOS™,DigiKey,BSC13DN30NSFDATMA1CT-ND,"","","","","","","","","","",PG-TDSON-8-1,symbols/FET - N-CH/SCH - FET - N-CH - INFINEON BSC MOSFET N-CH.SCHLIB,INFINEON BSC MOSFET N-CH,MOSFET (Metal Oxide),"","",±20V,"4V @ 90µA"
