Part Type,Part Number,Schematic Part,Part Value,"Capacitance @ Vr, F",Current - Average Rectified (Io),Current - Reverse Leakage @ Vr,Reverse Recovery Time (trr),Speed,Voltage - DC Reverse (Vr) (Max),Voltage - Forward (Vf) (Max) @ If,Voltage,Allegro PCB Footprint,Package / Case,Pspice Model,Power,Availability,Data Sheet,Description,Mounting Type,Size,Number of Pins,Operating Temperature,Distributor Part Number,Manufacturer,Manufacturer Part Number,Price,ActivepartsID
DIODE,"BAS21W,115",diodes\Diode,,,225mA (DC),100nA @ 200V,50ns,"Fast Recovery =< 500ns, > 200mA (Io)",250V,1.25V @ 200mA,,,"SC-70, SOT-323",,,,https://assets.nexperia.com/documents/data-sheet/BAS21W_SER.pdf,DIODE GEN PURP 250V 225MA SOT323,Surface Mount,,2,150°C (Max),,Nexperia USA Inc.,,,
DIODE,"BAS16W,115",diodes\Diode,,,175mA (DC),500nA @ 80V,4ns,"Small Signal =< 200mA (Io), Any Speed",100V,1.25V @ 150mA,,,"SC-70, SOT-323",,,,https://assets.nexperia.com/documents/data-sheet/BAS16_SER.pdf,DIODE GEN PURP 100V 175MA SOT323,Surface Mount,,2,-65°C ~ 150°C,,Nexperia USA Inc.,,,
DIODE,MMBD4148W-7-F,diodes\Diode,,,150mA,1µA @ 75V,4ns,"Small Signal =< 200mA (Io), Any Speed",75V,1.25V @ 150mA,,,"SC-70, SOT-323",,,,https://www.diodes.com/assets/Datasheets/ds30094.pdf,DIODE GEN PURP 75V 150MA SOT323,Surface Mount,,2,-65°C ~ 150°C,,Diodes Incorporated,,,
DIODE,BAS16W-7-F,diodes\Diode,,,150mA,1µA @ 75V,4ns,"Small Signal =< 200mA (Io), Any Speed",75V,1.25V @ 150mA,,,"SC-70, SOT-323",,,,https://www.diodes.com/assets/Datasheets/ds30094.pdf,DIODE GEN PURP 75V 150MA SOT323,Surface Mount,,2,-65°C ~ 150°C,,Diodes Incorporated,,,
DIODE,BAS21WT-TP,diodes\Diode,,,200mA (DC),100nA @ 200V,50ns,"Small Signal =< 200mA (Io), Any Speed",200V,1.25V @ 200mA,,,"SC-70, SOT-323",,,,https://www.mccsemi.com/pdf/Products/BAS19WT-BAS21WT(SOT-323).PDF,DIODE GEN PURP 200V 200MA SOT323,Surface Mount,,2,-55°C ~ 150°C,,Micro Commercial Co,,,
DIODE,BAS19W-7-F,diodes\Diode,,,200mA,100nA @ 100V,50ns,"Small Signal =< 200mA (Io), Any Speed",100V,1.25V @ 200mA,,,"SC-70, SOT-323",,,,https://www.diodes.com/assets/Datasheets/Ds30118.pdf,DIODE GEN PURP 100V 200MA SOT323,Surface Mount,,2,-65°C ~ 150°C,,Diodes Incorporated,,,
DIODE,BAS21W-7-F,diodes\Diode,,,200mA,100nA @ 200V,50ns,"Small Signal =< 200mA (Io), Any Speed",200V,1.25V @ 200mA,,,"SC-70, SOT-323",,,,https://www.diodes.com/assets/Datasheets/Ds30118.pdf,DIODE GEN PURP 200V 200MA SOT323,Surface Mount,,2,-65°C ~ 150°C,,Diodes Incorporated,,,
DIODE,CMSD4448 TR PBFREE,diodes\Diode,,,250mA (DC),25nA @ 20V,4ns,"Fast Recovery =< 500ns, > 200mA (Io)",75V,1V @ 100mA,,,"SC-70, SOT-323",,,,https://my.centralsemi.com/get_document.php?cmp=1&mergetype=pd&mergepath=pd&pdf_id=CMSD4448.PDF,DIODE GEN PURP 75V 250MA SOT323,Surface Mount,,2,-65°C ~ 150°C,,Central Semiconductor Corp,,,
DIODE,BAS16WT1G,diodes\Diode,,,200mA (DC),1µA @ 75V,6ns,"Small Signal =< 200mA (Io), Any Speed",100V,1.25V @ 150mA,,,"SC-70, SOT-323",,,,http://www.onsemi.com/pub/Collateral/BAS16WT1-D.PDF,DIODE GEN PURP 100V 200MA SC70-3,Surface Mount,,2,-55°C ~ 150°C,,ON Semiconductor,,,
DIODE,MMBD4448WT-TP,diodes\Diode,,,250mA,2.5µA @ 75V,4ns,"Fast Recovery =< 500ns, > 200mA (Io)",75V,1.25V @ 150mA,,,"SC-70, SOT-323",,,,https://www.mccsemi.com/pdf/Products/MMBD4448WT(SOT-323).pdf,DIODE GEN PURP 75V 250MA SOT323,Surface Mount,,2,-55°C ~ 150°C,,Micro Commercial Co,,,
DIODE,MMBD4148WT-TP,diodes\Diode,,,150mA (DC),1µA @ 75V,4ns,"Small Signal =< 200mA (Io), Any Speed",75V,1.25V @ 150mA,,,"SC-70, SOT-323",,,,https://www.mccsemi.com/pdf/Products/MMBD4148WT(SOT-323).PDF,DIODE GEN PURP 75V 150MA SOT323,Surface Mount,,2,-55°C ~ 150°C,,Micro Commercial Co,,,
DIODE,ER1J-LTP,diodes\Diode,,"15pF @ 4V, 1MHz",1A,5µA @ 600V,35ns,"Fast Recovery =< 500ns, > 200mA (Io)",600V,1.7V @ 1A,,,"DO-214AA, SMB",,,,https://www.mccsemi.com/pdf/Products/ER1A-L~ER1J-L(DO-214AA).pdf,DIODE GEN PURP 600V 1A DO214AA,Surface Mount,,2,-65°C ~ 175°C,,Micro Commercial Co,,,
DIODE,S2D-TP,diodes\Diode,,,2A,10µA @ 200V,2µs,"Standard Recovery >500ns, > 200mA (Io)",200V,1.15V @ 2A,,,"DO-214AA, SMB",,,,//media.digikey.com/pdf/Data%20Sheets/Micro%20Commercial%20PDFs/S2A_%20thru_S2M_RevC_12-27-13.pdf,DIODE GEN PURP 200V 2A DO214AA,Surface Mount,,2,-55°C ~ 150°C,,Micro Commercial Co,,,
DIODE,S2M-E3/5BT,diodes\Diode,,"16pF @ 4V, 1MHz",1.5A,1µA @ 1000V,2µs,"Standard Recovery >500ns, > 200mA (Io)",1000V,1.15V @ 1.5A,,,"DO-214AA, SMB",,,,//media.digikey.com/pdf/Data%20Sheets/Vishay%20Semiconductors/S2x.pdf,DIODE GEN PURP 1KV 1.5A DO214,Surface Mount,,2,-55°C ~ 150°C,,Vishay Semiconductor Diodes Division,,,
DIODE,S2D,diodes\Diode,,"30pF @ 4V, 1MHz",2A,1µA @ 200V,2µs,"Standard Recovery >500ns, > 200mA (Io)",200V,1.15V @ 2A,,,"DO-214AA, SMB",,,,https://www.onsemi.com/pub/Collateral/S2M-D.pdf,DIODE GEN PURP 200V 2A SMB,Surface Mount,,2,-65°C ~ 150°C,,ON Semiconductor,,,
DIODE,S2B,diodes\Diode,,"30pF @ 4V, 1MHz",2A,1µA @ 100V,2µs,"Standard Recovery >500ns, > 200mA (Io)",100V,1.15V @ 2A,,,"DO-214AA, SMB",,,,https://www.onsemi.com/pub/Collateral/S2M-D.pdf,DIODE GEN PURP 100V 2A DO214AA,Surface Mount,,2,-65°C ~ 150°C,,ON Semiconductor,,,
DIODE,RS1AB-13-F,diodes\Diode,,"15pF @ 4V, 1MHz",1A,5µA @ 50V,150ns,"Fast Recovery =< 500ns, > 200mA (Io)",50V,1.3V @ 1A,,,"DO-214AA, SMB",,,,https://www.diodes.com/assets/Datasheets/ds15002.pdf,DIODE GEN PURP 50V 1A SMB,Surface Mount,,2,-65°C ~ 150°C,,Diodes Incorporated,,,
DIODE,RS1DB-13-F,diodes\Diode,,"15pF @ 4V, 1MHz",1A,5µA @ 200V,150ns,"Fast Recovery =< 500ns, > 200mA (Io)",200V,1.3V @ 1A,,,"DO-214AA, SMB",,,,https://www.diodes.com/assets/Datasheets/ds15002.pdf,DIODE GEN PURP 200V 1A SMB,Surface Mount,,2,-65°C ~ 150°C,,Diodes Incorporated,,,
DIODE,S3JB-TP,diodes\Diode,,"40pF @ 4V, 1MHz",3A,10µA @ 600V,,"Standard Recovery >500ns, > 200mA (Io)",600V,1.15V @ 3A,,,"DO-214AA, SMB",,,,https://www.mccsemi.com/pdf/Products/S3AB-S3MB(SMB).PDF,DIODE GEN PURP 600V 3A DO214AA,Surface Mount,,2,,,Micro Commercial Co,,,
DIODE,MURS260-E3/5BT,diodes\Diode,,,2A,5µA @ 600V,75ns,"Fast Recovery =< 500ns, > 200mA (Io)",600V,1.45V @ 2A,,,"DO-214AA, SMB",,,,"//media.digikey.com/pdf/Data%20Sheets/Vishay%20Semiconductors/MURS240,260.pdf",DIODE GEN PURP 600V 2A DO214AA,Surface Mount,,2,-65°C ~ 175°C,,Vishay Semiconductor Diodes Division,,,
DIODE,FR2J-LTP,diodes\Diode,,"50pF @ 4V, 1MHz",2A,5µA @ 600V,250ns,"Fast Recovery =< 500ns, > 200mA (Io)",600V,1.3V @ 2A,,,"DO-214AA, SMB",,,,https://www.mccsemi.com/pdf/Products/FR2A-L-FR2M-L(DO-214AA).pdf,"2A,600V,FAST RECOVERY RECTIFIERS",Surface Mount,,2,-50°C ~ 150°C,,Micro Commercial Co,,,
DIODE,US2Q-TP,diodes\Diode,,"27pF @ 4V, 1MHz",2A,5µA @ 1200V,100ns,"Fast Recovery =< 500ns, > 200mA (Io)",1200V,1.7V @ 2A,,,"DO-214AA, SMB",,,,https://www.mccsemi.com/pdf/Products/US2Q(DO-214AA)-V1.pdf,2AULTRAFASTRECOVERYRECTIFIERSDO-,Surface Mount,,2,-50°C ~ 150°C,,Micro Commercial Co,,,
DIODE,FR2M-LTP,diodes\Diode,,"50pF @ 4V, 1MHz",2A,5µA @ 1000V,500ns,"Fast Recovery =< 500ns, > 200mA (Io)",1000V,1.3V @ 2A,,,"DO-214AA, SMB",,,,https://www.mccsemi.com/pdf/Products/FR2A-L-FR2M-L(DO-214AA).pdf,"2A,1000V,FAST RECOVERY RECTIFIER",Surface Mount,,2,-50°C ~ 150°C,,Micro Commercial Co,,,
DIODE,ES2C R5G,diodes\Diode,,"25pF @ 4V, 1MHz",2A,10µA @ 150V,35ns,"Fast Recovery =< 500ns, > 200mA (Io)",150V,950mV @ 2A,,,"DO-214AA, SMB",,,,https://www.taiwansemi.com/products/datasheet/ES2A%20SERIES_K1701.pdf,DIODE GEN PURP 150V 2A DO214AA,Surface Mount,,2,-55°C ~ 150°C,,Taiwan Semiconductor Corporation,,,
DIODE,MURS120T3G,diodes\Diode,,,2A,2µA @ 200V,35ns,"Fast Recovery =< 500ns, > 200mA (Io)",200V,875mV @ 1A,,,"DO-214AA, SMB",,,,https://www.onsemi.com/pub/Collateral/MURS120T3-D.PDF,DIODE GEN PURP 200V 2A SMB,Surface Mount,,2,-65°C ~ 175°C,,ON Semiconductor,,,
DIODE,CGRB304-G,diodes\Diode,,,3A,5µA @ 400V,,"Standard Recovery >500ns, > 200mA (Io)",400V,1.1V @ 3A,,,"DO-214AA, SMB",,,,http://www.comchiptech.com/admin/files/product/CGRB301-G%20Thru.%20CGRB307-G%20RevC.PDF,DIODE GEN PURP 400V 3A DO214AA,Surface Mount,,2,150°C (Max),,Comchip Technology,,,
DIODE,ESH2D R5G,diodes\Diode,,"25pF @ 4V, 1MHz",2A,2µA @ 200V,20ns,"Fast Recovery =< 500ns, > 200mA (Io)",200V,900mV @ 2A,,,"DO-214AA, SMB",,,,https://www.taiwansemi.com/products/datasheet/ESH2B%20SERIES_I1706.pdf,DIODE GEN PURP 200V 2A DO214AA,Surface Mount,,2,-55°C ~ 175°C,,Taiwan Semiconductor Corporation,,,
DIODE,S5GB R5G,diodes\Diode,,"40pF @ 4V, 1MHz",5A,10µA @ 400V,,"Fast Recovery =< 500ns, > 200mA (Io)",400V,1.1V @ 5A,,,"DO-214AA, SMB",,,,https://www.taiwansemi.com/products/datasheet/S5GB%20SERIES_C1701.pdf,DIODE GEN PURP 400V 5A DO214AA,Surface Mount,,2,-55°C ~ 150°C,,Taiwan Semiconductor Corporation,,,
DIODE,SD560BTR,diodes\Diode,,"50pF @ 4V, 1MHz",5A,9µA @ 600V,,"Standard Recovery >500ns, > 200mA (Io)",600V,1.2V @ 5A,,,"DO-214AA, SMB",,,,http://www.smc-diodes.com/propdf/SD560B%20N1412%20REV.D.pdf,DIODE GEN PURP 600V 5A SMB,Surface Mount,,2,-65°C ~ 175°C,,SMC Diode Solutions,,,
DIODE,MURS160T3G,diodes\Diode,,,2A,5µA @ 600V,75ns,"Fast Recovery =< 500ns, > 200mA (Io)",600V,1.25V @ 1A,,,"DO-214AA, SMB",,,,https://www.onsemi.com/pub/Collateral/MURS120T3-D.PDF,DIODE GEN PURP 600V 2A SMB,Surface Mount,,2,-65°C ~ 175°C,,ON Semiconductor,,,
DIODE,ES2D,diodes\Diode,,"18pF @ 4V, 1MHz",2A,10µA @ 200V,20ns,"Fast Recovery =< 500ns, > 200mA (Io)",200V,900mV @ 2A,,,"DO-214AA, SMB",,,,https://www.onsemi.com/pub/Collateral/ES2D-D.pdf,DIODE GEN PURP 200V 2A DO214AA,Surface Mount,,2,-50°C ~ 150°C,,ON Semiconductor,,,
DIODE,MURS140-13-F,diodes\Diode,,"10pF @ 4V, 1MHz",1A,5µA @ 400V,50ns,"Fast Recovery =< 500ns, > 200mA (Io)",400V,1.25V @ 1A,,,"DO-214AA, SMB",,,,https://www.diodes.com/assets/Datasheets/ds30130.pdf,DIODE GEN PURP 400V 1A SMB,Surface Mount,,2,-55°C ~ 175°C,,Diodes Incorporated,,,
DIODE,CGRB307-G,diodes\Diode,,,3A,5µA @ 1000V,,"Standard Recovery >500ns, > 200mA (Io)",1000V,1.1V @ 3A,,,"DO-214AA, SMB",,,,http://www.comchiptech.com/admin/files/product/CGRB301-G%20Thru.%20CGRB307-G%20RevC.PDF,DIODE GEN PURP 1KV 3A DO214AA,Surface Mount,,2,150°C (Max),,Comchip Technology,,,
DIODE,RS1MB-13-F,diodes\Diode,,"15pF @ 4V, 1MHz",1A,5µA @ 1000V,500ns,"Fast Recovery =< 500ns, > 200mA (Io)",1000V,1.3V @ 1A,,,"DO-214AA, SMB",,,,https://www.diodes.com/assets/Datasheets/ds15002.pdf,DIODE GEN PURP 1KV 1A SMB,Surface Mount,,2,-65°C ~ 150°C,,Diodes Incorporated,,,
DIODE,RS3BB-13-F,diodes\Diode,,"50pF @ 4V, 1MHz",3A,5µA @ 100V,150ns,"Fast Recovery =< 500ns, > 200mA (Io)",100V,1.3V @ 3A,,,"DO-214AA, SMB",,,,//media.digikey.com/pdf/Data%20Sheets/Diodes%20PDFs/RS3A_B~RS3M_B.pdf,DIODE GEN PURP 100V 3A SMB,Surface Mount,,2,-65°C ~ 150°C,,Diodes Incorporated,,,
DIODE,STTH2R02UY,diodes\Diode,,,2A,3µA @ 200V,30ns,"Fast Recovery =< 500ns, > 200mA (Io)",200V,1V @ 2A,,,"DO-214AA, SMB",,,,http://www.st.com/content/ccc/resource/technical/document/datasheet/b6/8c/25/4d/49/8e/40/2d/CD00284803.pdf/files/CD00284803.pdf/jcr:content/translations/en.CD00284803.pdf,DIODE GEN PURP 200V 2A SMB,Surface Mount,,2,175°C (Max),,STMicroelectronics,,,
DIODE,RS2M R5G,diodes\Diode,,"50pF @ 4V, 1MHz",2A,5µA @ 1000V,500ns,"Fast Recovery =< 500ns, > 200mA (Io)",1000V,1.3V @ 2A,,,"DO-214AA, SMB",,,,https://www.taiwansemi.com/products/datasheet/RS2A%20SERIES_J1701.pdf,DIODE GEN PURP 1KV 2A DO214AA,Surface Mount,,2,-55°C ~ 150°C,,Taiwan Semiconductor Corporation,,,
DIODE,MURS160-13-F,diodes\Diode,,"10pF @ 4V, 1MHz",1A,5µA @ 600V,50ns,"Fast Recovery =< 500ns, > 200mA (Io)",600V,1.25V @ 1A,,,"DO-214AA, SMB",,,,https://www.diodes.com/assets/Datasheets/ds30130.pdf,DIODE GEN PURP 600V 1A SMB,Surface Mount,,2,-55°C ~ 175°C,,Diodes Incorporated,,,
DIODE,MURS360BT3G,diodes\Diode,,,3A,3µA @ 600V,75ns,"Fast Recovery =< 500ns, > 200mA (Io)",600V,1.25V @ 3A,,,"DO-214AA, SMB",,,,http://www.onsemi.com/pub/Collateral/MURS360BT3-D.PDF,DIODE GEN PURP 600V 3A SMB,Surface Mount,,2,-65°C ~ 175°C,,ON Semiconductor,,,
DIODE,S1AB-13-F,diodes\Diode,,"10pF @ 4V, 1MHz",1A,5µA @ 50V,3µs,"Standard Recovery >500ns, > 200mA (Io)",50V,1.1V @ 1A,,,"DO-214AA, SMB",,,,https://www.diodes.com/assets/Datasheets/ds16003.pdf,DIODE GEN PURP 50V 1A SMB,Surface Mount,,2,-65°C ~ 150°C,,Diodes Incorporated,,,
DIODE,S1GB-13-F,diodes\Diode,,"10pF @ 4V, 1MHz",1A,5µA @ 400V,3µs,"Standard Recovery >500ns, > 200mA (Io)",400V,1.1V @ 1A,,,"DO-214AA, SMB",,,,https://www.diodes.com/assets/Datasheets/ds16003.pdf,DIODE GEN PURP 400V 1A SMB,Surface Mount,,2,-65°C ~ 150°C,,Diodes Incorporated,,,
DIODE,S2A,diodes\Diode,,"30pF @ 4V, 1MHz",2A,1µA @ 50V,2µs,"Standard Recovery >500ns, > 200mA (Io)",50V,1.15V @ 2A,,,"DO-214AA, SMB",,,,https://www.onsemi.com/pub/Collateral/S2M-D.pdf,DIODE GEN PURP 50V 2A DO214AA,Surface Mount,,2,-65°C ~ 150°C,,ON Semiconductor,,,
DIODE,S1MB-13-F,diodes\Diode,,"10pF @ 4V, 1MHz",1A,5µA @ 1000V,3µs,"Standard Recovery >500ns, > 200mA (Io)",1000V,1.1V @ 1A,,,"DO-214AA, SMB",,,,https://www.diodes.com/assets/Datasheets/ds16003.pdf,DIODE GEN PURP 1KV 1A SMB,Surface Mount,,2,-65°C ~ 150°C,,Diodes Incorporated,,,
DIODE,ES2B,diodes\Diode,,"18pF @ 4V, 1MHz",2A,10µA @ 100V,20ns,"Fast Recovery =< 500ns, > 200mA (Io)",100V,900mV @ 2A,,,"DO-214AA, SMB",,,,https://www.onsemi.com/pub/Collateral/ES2D-D.pdf,DIODE GEN PURP 100V 2A DO214AA,Surface Mount,,2,-55°C ~ 150°C,,ON Semiconductor,,,
DIODE,RS1GB-13-F,diodes\Diode,,"15pF @ 4V, 1MHz",1A,5µA @ 400V,150ns,"Fast Recovery =< 500ns, > 200mA (Io)",400V,1.3V @ 1A,,,"DO-214AA, SMB",,,,https://www.diodes.com/assets/Datasheets/ds15002.pdf,DIODE GEN PURP 400V 1A SMB,Surface Mount,,2,-65°C ~ 150°C,,Diodes Incorporated,,,
DIODE,RS1JB-13-F,diodes\Diode,,"15pF @ 4V, 1MHz",1A,5µA @ 600V,250ns,"Fast Recovery =< 500ns, > 200mA (Io)",600V,1.3V @ 1A,,,"DO-214AA, SMB",,,,https://www.diodes.com/assets/Datasheets/ds15002.pdf,DIODE GEN PURP 600V 1A SMB,Surface Mount,,2,-65°C ~ 150°C,,Diodes Incorporated,,,
DIODE,MURS140T3G,diodes\Diode,,,2A,5µA @ 400V,75ns,"Fast Recovery =< 500ns, > 200mA (Io)",400V,1.25V @ 1A,,,"DO-214AA, SMB",,,,https://www.onsemi.com/pub/Collateral/MURS120T3-D.PDF,DIODE GEN PURP 400V 2A SMB,Surface Mount,,2,-65°C ~ 175°C,,ON Semiconductor,,,
DIODE,MURS120-13-F,diodes\Diode,,"27pF @ 4V, 1MHz",1A,2µA @ 200V,25ns,"Fast Recovery =< 500ns, > 200mA (Io)",200V,875mV @ 1A,,,"DO-214AA, SMB",,,,https://www.diodes.com/assets/Datasheets/ds30179.pdf,DIODE GEN PURP 200V 1A SMB,Surface Mount,,2,-55°C ~ 175°C,,Diodes Incorporated,,,
DIODE,RS1BB-13-F,diodes\Diode,,"15pF @ 4V, 1MHz",1A,5µA @ 100V,150ns,"Fast Recovery =< 500ns, > 200mA (Io)",100V,1.3V @ 1A,,,"DO-214AA, SMB",,,,https://www.diodes.com/assets/Datasheets/ds15002.pdf,DIODE GEN PURP 100V 1A SMB,Surface Mount,,2,-65°C ~ 150°C,,Diodes Incorporated,,,
DIODE,MURS220T3G,diodes\Diode,,,2A,2µA @ 200V,35ns,"Fast Recovery =< 500ns, > 200mA (Io)",200V,950mV @ 2A,,,"DO-214AA, SMB",,,,https://www.onsemi.com/pub/Collateral/MURS220T3-D.PDF,DIODE GEN PURP 200V 2A SMB,Surface Mount,,2,-65°C ~ 175°C,,ON Semiconductor,,,
DIODE,MURS260T3G,diodes\Diode,,,2A,5µA @ 600V,75ns,"Fast Recovery =< 500ns, > 200mA (Io)",600V,1.45V @ 2A,,,"DO-214AA, SMB",,,,https://www.onsemi.com/pub/Collateral/MURS260T3-D.PDF,DIODE GEN PURP 600V 2A SMB,Surface Mount,,2,-65°C ~ 175°C,,ON Semiconductor,,,
DIODE,S3MBTR,diodes\Diode,,"60pF @ 4V, 1MHz",3A,5µA @ 1000V,,"Fast Recovery =< 500ns, > 200mA (Io)",1000V,1.1V @ 3A,,,"DO-214AA, SMB",,,,http://www.smc-diodes.com/propdf/S3AB-S3MB%20N0563%20REV.B.pdf,DIODE GEN PURP 1KV 3A SMB,Surface Mount,,2,-65°C ~ 175°C,,SMC Diode Solutions,,,
DIODE,STTH2R06U,diodes\Diode,,,2A,2µA @ 600V,50ns,"Fast Recovery =< 500ns, > 200mA (Io)",600V,1.7V @ 2A,,,"DO-214AA, SMB",,,,http://www.st.com/content/ccc/resource/technical/document/datasheet/fe/4e/e1/d9/af/18/4b/81/CD00043011.pdf/files/CD00043011.pdf/jcr:content/translations/en.CD00043011.pdf,DIODE GEN PURP 600V 2A SMB,Surface Mount,,2,-40°C ~ 175°C,,STMicroelectronics,,,
DIODE,MURS110T3G,diodes\Diode,,,2A,2µA @ 100V,35ns,"Fast Recovery =< 500ns, > 200mA (Io)",100V,875mV @ 1A,,,"DO-214AA, SMB",,,,https://www.onsemi.com/pub/Collateral/MURS120T3-D.PDF,DIODE GEN PURP 100V 2A SMB,Surface Mount,,2,-65°C ~ 175°C,,ON Semiconductor,,,
DIODE,FR1M-LTP,diodes\Diode,,"15pF @ 4V, 1MHz",1A,5µA @ 1000V,500ns,"Fast Recovery =< 500ns, > 200mA (Io)",1000V,1.3V @ 1A,,,"DO-214AA, SMB",,,,https://www.mccsemi.com/pdf/Products/FR1A-L-FR1M-L(DO-214AA).pdf,"1A,1000V,FAST RECOVERY RECTIFIER",Surface Mount,,2,-50°C ~ 150°C,,Micro Commercial Co,,,
DIODE,S2B-E3/5BT,diodes\Diode,,"16pF @ 4V, 1MHz",1.5A,1µA @ 100V,2µs,"Standard Recovery >500ns, > 200mA (Io)",100V,1.15V @ 1.5A,,,"DO-214AA, SMB",,,,//media.digikey.com/pdf/Data%20Sheets/Vishay%20Semiconductors/S2x.pdf,DIODE GEN PURP 100V 1.5A DO214AA,Surface Mount,,2,-55°C ~ 150°C,,Vishay Semiconductor Diodes Division,,,
DIODE,S2K-E3/5BT,diodes\Diode,,"16pF @ 4V, 1MHz",1.5A,1µA @ 800V,2µs,"Standard Recovery >500ns, > 200mA (Io)",800V,1.15V @ 1.5A,,,"DO-214AA, SMB",,,,//media.digikey.com/pdf/Data%20Sheets/Vishay%20Semiconductors/S2x.pdf,DIODE GEN PURP 800V 1.5A DO214AA,Surface Mount,,2,-55°C ~ 150°C,,Vishay Semiconductor Diodes Division,,,
DIODE,MUR120S R5G,diodes\Diode,,,1A,2µA @ 200V,,"Fast Recovery =< 500ns, > 200mA (Io)",200V,875mV @ 1A,,,"DO-214AA, SMB",,,,https://www.taiwansemi.com/products/datasheet/MUR105S%20SERIES_K1701.pdf,DIODE GEN PURP 200V 1A DO214AA,Surface Mount,,2,-55°C ~ 175°C,,Taiwan Semiconductor Corporation,,,
