Part Type,Part Number,Schematic Part,Part Value,Type,ESR (Equivalent Series Resistance),Frequency,Frequency Stability,Frequency Tolerance,Load Capacitance,Voltage,Allegro PCB Footprint,Package / Case,Pspice Model,Power,Availability,Data Sheet,Description,Mounting Type,Height - Seated (Max),Size,Number of Pins,Operating Temperature,Distributor Part Number,Manufacturer,Manufacturer Part Number,Price,ActivepartsID
Crystal,ABLS-32.000MHZ-B2-T,oscillators\Crystal,32MHz,MHz Crystal,80 Ohms,32MHz,±50ppm,±20ppm,18pF,,CRYSTAL_HC49US_ABLS,HC-49/US,,,,https://abracon.com/Resonators/abls.pdf,CRYSTAL 32.0000MHZ 18PF SMD,Surface Mount,0.165 (4.20mm),0.449 L x 0.185 W (11.40mm x 4.70mm),,-20°C ~ 70°C,,Abracon LLC,,,
Crystal,ABLS-12.288MHZ-B2-T,oscillators\Crystal,12.288MHz,MHz Crystal,50 Ohms,12.288MHz,±50ppm,±20ppm,18pF,,CRYSTAL_HC49US_ABLS,HC-49/US,,,,https://abracon.com/Resonators/abls.pdf,CRYSTAL 12.2880MHZ 18PF SMD,Surface Mount,0.165 (4.20mm),0.449 L x 0.185 W (11.40mm x 4.70mm),,-20°C ~ 70°C,,Abracon LLC,,,
Crystal,ABLS-11.0592MHZ-B2-T,oscillators\Crystal,11.0592MHz,MHz Crystal,50 Ohms,11.0592MHz,±50ppm,±20ppm,18pF,,CRYSTAL_HC49US_ABLS,HC-49/US,,,,https://abracon.com/Resonators/abls.pdf,CRYSTAL 11.0592MHZ 18PF SMD,Surface Mount,0.165 (4.20mm),0.449 L x 0.185 W (11.40mm x 4.70mm),,-20°C ~ 70°C,,Abracon LLC,,,
Crystal,ABLS-7.3728MHZ-D4-T,oscillators\Crystal,7.3728MHz,MHz Crystal,100 Ohms,7.3728MHz,±50ppm,±30ppm,18pF,,CRYSTAL_HC49US_ABLS,HC-49/US,,,,https://abracon.com/Resonators/abls.pdf,CRYSTAL 7.3728MHZ 18PF SMD,Surface Mount,0.165 (4.20mm),0.449 L x 0.185 W (11.40mm x 4.70mm),,-40°C ~ 85°C,,Abracon LLC,,,
Crystal,ABLS-18.432MHZ-T,oscillators\Crystal,18.432MHz,MHz Crystal,40 Ohms,18.432MHz,±50ppm,±50ppm,18pF,,CRYSTAL_HC49US_ABLS,HC-49/US,,,,https://abracon.com/Resonators/abls.pdf,CRYSTAL 18.432MHZ 18PF SMD,Surface Mount,0.165 (4.20mm),0.449 L x 0.185 W (11.40mm x 4.70mm),,,,Abracon LLC,,,
Crystal,ABLS-25.000MHZ-20-D2YF-T,oscillators\Crystal,25MHz,MHz Crystal,40 Ohms,25MHz,±30ppm,±20ppm,20pF,,CRYSTAL_HC49US_ABLS,HC-49/US,,,,https://abracon.com/Resonators/abls.pdf,CRYSTAL 25.000MHZ 20PF SMD,Surface Mount,0.165 (4.20mm),0.449 L x 0.185 W (11.40mm x 4.70mm),,-40°C ~ 85°C,,Abracon LLC,,,
Crystal,ABLS-4.9152MHZ-D-T,oscillators\Crystal,4.9152MHz,MHz Crystal,180 Ohms,4.9152MHz,±50ppm,±50ppm,18pF,,CRYSTAL_HC49US_ABLS,HC-49/US,,,,https://abracon.com/Resonators/abls.pdf,CRYSTAL 4.9152MHZ 18PF SMD,Surface Mount,0.165 (4.20mm),0.449 L x 0.185 W (11.40mm x 4.70mm),,-40°C ~ 85°C,,Abracon LLC,,,
Crystal,ABLS-7.500MHZ-T,oscillators\Crystal,7.5MHz,MHz Crystal,100 Ohms,7.5MHz,±50ppm,±50ppm,18pF,,CRYSTAL_HC49US_ABLS,HC-49/US,,,,https://abracon.com/Resonators/abls.pdf,CRYSTAL 7.500MHZ 18PF SMD,Surface Mount,0.165 (4.20mm),0.449 L x 0.185 W (11.40mm x 4.70mm),,,,Abracon LLC,,,
Crystal,ABLS-9.909116MHZ-10-R40-B4Y-T,oscillators\Crystal,9.909116MHz,MHz Crystal,40 Ohms,9.909116MHz,±30ppm,±30ppm,10pF,,CRYSTAL_HC49US_ABLS,HC-49/US,,,,https://abracon.com/Resonators/abls.pdf,CRYSTAL 9.909116MHZ 10PF SMD,Surface Mount,0.165 (4.20mm),0.449 L x 0.185 W (11.40mm x 4.70mm),,-20°C ~ 70°C,,Abracon LLC,,,
Crystal,ABLS-10.000MHZ-20-T,oscillators\Crystal,10MHz,MHz Crystal,50 Ohms,10MHz,±50ppm,±50ppm,20pF,,CRYSTAL_HC49US_ABLS,HC-49/US,,,,https://abracon.com/Resonators/abls.pdf,CRYSTAL 10.000MHZ 20PF SMD,Surface Mount,0.165 (4.20mm),0.449 L x 0.185 W (11.40mm x 4.70mm),,,,Abracon LLC,,,
Crystal,ABLS-25.000MHZ-D-FT,oscillators\Crystal,25MHz,MHz Crystal,40 Ohms,25MHz,±50ppm,±50ppm,18pF,,CRYSTAL_HC49US_ABLS,HC-49/US,,,,https://abracon.com/Resonators/abls.pdf,CRYSTAL 25.000MHZ 18PF SMD,Surface Mount,0.165 (4.20mm),0.449 L x 0.185 W (11.40mm x 4.70mm),,-40°C ~ 85°C,,Abracon LLC,,,
Crystal,ABLS-25.000MHZ-12-F-T,oscillators\Crystal,25MHz,MHz Crystal,40 Ohms,25MHz,±50ppm,±50ppm,12pF,,CRYSTAL_HC49US_ABLS,HC-49/US,,,,https://abracon.com/Resonators/abls.pdf,CRYSTAL 25.000MHZ 12PF SMD,Surface Mount,0.165 (4.20mm),0.449 L x 0.185 W (11.40mm x 4.70mm),,,,Abracon LLC,,,
Crystal,ABLS-25.000MHZ-8-D4YF-T,oscillators\Crystal,25MHz,MHz Crystal,40 Ohms,25MHz,±30ppm,±30ppm,8pF,,CRYSTAL_HC49US_ABLS,HC-49/US,,,,https://abracon.com/Resonators/abls.pdf,CRYSTAL 25.000MHZ 8PF SMD,Surface Mount,0.165 (4.20mm),0.449 L x 0.185 W (11.40mm x 4.70mm),,-40°C ~ 85°C,,Abracon LLC,,,
Crystal,ABLS-5.9904MHZ-D-T,oscillators\Crystal,5.9904MHz,MHz Crystal,120 Ohms,5.9904MHz,±50ppm,±50ppm,18pF,,CRYSTAL_HC49US_ABLS,HC-49/US,,,,https://abracon.com/Resonators/abls.pdf,CRYSTAL 5.9904MHZ 18PF SMD,Surface Mount,0.165 (4.20mm),0.449 L x 0.185 W (11.40mm x 4.70mm),,-40°C ~ 85°C,,Abracon LLC,,,
Crystal,ABLS-14.7456MHZ-20-R40-D4H-T,oscillators\Crystal,14.7456MHz,MHz Crystal,40 Ohms,14.7456MHz,±35ppm,±30ppm,20pF,,CRYSTAL_HC49US_ABLS,HC-49/US,,,,https://abracon.com/Resonators/abls.pdf,CRYSTAL 14.7456MHZ 20PF SMD,Surface Mount,0.165 (4.20mm),0.449 L x 0.185 W (11.40mm x 4.70mm),,-40°C ~ 85°C,,Abracon LLC,,,
Crystal,ABLS-12.000MHZ-30-4Y-T,oscillators\Crystal,12MHz,MHz Crystal,50 Ohms,12MHz,±30ppm,±30ppm,30pF,,CRYSTAL_HC49US_ABLS,HC-49/US,,,,https://abracon.com/Resonators/abls.pdf,CRYSTAL 12.000MHZ 30PF SMD,Surface Mount,0.165 (4.20mm),0.449 L x 0.185 W (11.40mm x 4.70mm),,,,Abracon LLC,,,
Crystal,ABLS-8.000MHZ-SD7Y-T,oscillators\Crystal,8MHz,MHz Crystal,80 Ohms,8MHz,±30ppm,±15ppm,18pF,,CRYSTAL_HC49US_ABLS,HC-49/US,,,,https://abracon.com/Resonators/abls.pdf,CRYSTAL 8.000MHZ 18PF SMD,Surface Mount,0.165 (4.20mm),0.449 L x 0.185 W (11.40mm x 4.70mm),,-40°C ~ 85°C,,Abracon LLC,,,
Crystal,ABLS-24.576MHZ-8-L4Q-F-T,oscillators\Crystal,24.576MHz,MHz Crystal,40 Ohms,24.576MHz,±100ppm,±30ppm,8pF,,CRYSTAL_HC49US_ABLS,HC-49/US,,,,https://abracon.com/Resonators/abls.pdf,CRYSTAL 24.576MHZ 8PF SMD,Surface Mount,0.165 (4.20mm),0.449 L x 0.185 W (11.40mm x 4.70mm),,-55°C ~ 125°C,,Abracon LLC,,,
Crystal,ABLS-13.52127MHZ-10-D4Y-T,oscillators\Crystal,13.52127MHz,MHz Crystal,50 Ohms,13.52127MHz,±30ppm,±30ppm,10pF,,CRYSTAL_HC49US_ABLS,HC-49/US,,,,https://abracon.com/Resonators/abls.pdf,CRYSTAL 13.52127MHZ 10PF SMD,Surface Mount,0.165 (4.20mm),0.449 L x 0.185 W (11.40mm x 4.70mm),,-40°C ~ 85°C,,Abracon LLC,,,
Crystal,ABLS-24.000MHZ-20-B-3-H-T,oscillators\Crystal,24MHz,MHz Crystal,40 Ohms,24MHz,±35ppm,±25ppm,20pF,,CRYSTAL_HC49US_ABLS,HC-49/US,,,,https://abracon.com/Resonators/abls.pdf,CRYSTAL 24.0000MHZ 20PF SMD,Surface Mount,0.165 (4.20mm),0.449 L x 0.185 W (11.40mm x 4.70mm),,-20°C ~ 70°C,,Abracon LLC,,,
Crystal,ABLS-25.000MHZ-16-A-4-H-F-T,oscillators\Crystal,25MHz,MHz Crystal,40 Ohms,25MHz,±35ppm,±30ppm,16pF,,CRYSTAL_HC49US_ABLS,HC-49/US,,,,https://abracon.com/Resonators/abls.pdf,CRYSTAL 25.0000MHZ 16PF SMD,Surface Mount,0.165 (4.20mm),0.449 L x 0.185 W (11.40mm x 4.70mm),,-10°C ~ 60°C,,Abracon LLC,,,
Crystal,ABLS-7.3728MHZ-20-B-3-H-T,oscillators\Crystal,7.3728MHz,MHz Crystal,100 Ohms,7.3728MHz,±35ppm,±25ppm,20pF,,CRYSTAL_HC49US_ABLS,HC-49/US,,,,https://abracon.com/Resonators/abls.pdf,CRYSTAL 7.3728MHZ 20PF SMD,Surface Mount,0.165 (4.20mm),0.449 L x 0.185 W (11.40mm x 4.70mm),,-20°C ~ 70°C,,Abracon LLC,,,
Crystal,ABLS-12.288MHZ-D-3-Y-T,oscillators\Crystal,12.288MHz,MHz Crystal,50 Ohms,12.288MHz,±30ppm,±25ppm,18pF,,CRYSTAL_HC49US_ABLS,HC-49/US,,,,https://abracon.com/Resonators/abls.pdf,CRYSTAL 12.2880MHZ 18PF SMD,Surface Mount,0.165 (4.20mm),0.449 L x 0.185 W (11.40mm x 4.70mm),,-40°C ~ 85°C,,Abracon LLC,,,
Crystal,ABLS-3.579545MHZ-B-3-H-T,oscillators\Crystal,3.579545MHz,MHz Crystal,180 Ohms,3.579545MHz,±35ppm,±25ppm,18pF,,CRYSTAL_HC49US_ABLS,HC-49/US,,,,https://abracon.com/Resonators/abls.pdf,CRYSTAL 3.579545MHZ 18PF SMD,Surface Mount,0.165 (4.20mm),0.449 L x 0.185 W (11.40mm x 4.70mm),,-20°C ~ 70°C,,Abracon LLC,,,
Crystal,ABLS-3.6864MHZ-D-3-Y-T,oscillators\Crystal,3.6864MHz,MHz Crystal,180 Ohms,3.6864MHz,±30ppm,±25ppm,18pF,,CRYSTAL_HC49US_ABLS,HC-49/US,,,,https://abracon.com/Resonators/abls.pdf,CRYSTAL 3.6864MHZ 18PF SMD,Surface Mount,0.165 (4.20mm),0.449 L x 0.185 W (11.40mm x 4.70mm),,-40°C ~ 85°C,,Abracon LLC,,,
Crystal,ABLS-6.000MHZ-20-B-3-H-T,oscillators\Crystal,6MHz,MHz Crystal,100 Ohms,6MHz,±35ppm,±25ppm,20pF,,CRYSTAL_HC49US_ABLS,HC-49/US,,,,https://abracon.com/Resonators/abls.pdf,CRYSTAL 6.0000MHZ 20PF SMD,Surface Mount,0.165 (4.20mm),0.449 L x 0.185 W (11.40mm x 4.70mm),,-20°C ~ 70°C,,Abracon LLC,,,
Crystal,ABLS-20.000MHZ-16-A-4-H-T,oscillators\Crystal,20MHz,MHz Crystal,40 Ohms,20MHz,±35ppm,±30ppm,16pF,,CRYSTAL_HC49US_ABLS,HC-49/US,,,,https://abracon.com/Resonators/abls.pdf,CRYSTAL 20.0000MHZ 16PF SMD,Surface Mount,0.165 (4.20mm),0.449 L x 0.185 W (11.40mm x 4.70mm),,-10°C ~ 60°C,,Abracon LLC,,,
Crystal,ABLS-18.432MHZ-20-B-4-Y-T,oscillators\Crystal,18.432MHz,MHz Crystal,40 Ohms,18.432MHz,±30ppm,±30ppm,20pF,,CRYSTAL_HC49US_ABLS,HC-49/US,,,,https://abracon.com/Resonators/abls.pdf,CRYSTAL 18.4320MHZ 20PF SMD,Surface Mount,0.165 (4.20mm),0.449 L x 0.185 W (11.40mm x 4.70mm),,-20°C ~ 70°C,,Abracon LLC,,,
Crystal,ABLS-4.9152MHZ-D-3-Y-T,oscillators\Crystal,4.9152MHz,MHz Crystal,180 Ohms,4.9152MHz,±30ppm,±25ppm,18pF,,CRYSTAL_HC49US_ABLS,HC-49/US,,,,https://abracon.com/Resonators/abls.pdf,CRYSTAL 4.9152MHZ 18PF SMD,Surface Mount,0.165 (4.20mm),0.449 L x 0.185 W (11.40mm x 4.70mm),,-40°C ~ 85°C,,Abracon LLC,,,
Crystal,ABLS-18.432MHZ-16-A-2-H-T,oscillators\Crystal,18.432MHz,MHz Crystal,40 Ohms,18.432MHz,±35ppm,±20ppm,16pF,,CRYSTAL_HC49US_ABLS,HC-49/US,,,,https://abracon.com/Resonators/abls.pdf,CRYSTAL 18.4320MHZ 16PF SMD,Surface Mount,0.165 (4.20mm),0.449 L x 0.185 W (11.40mm x 4.70mm),,-10°C ~ 60°C,,Abracon LLC,,,
Crystal,ABLS-4.9152MHZ-20-B-4-Y-T,oscillators\Crystal,4.9152MHz,MHz Crystal,180 Ohms,4.9152MHz,±30ppm,±30ppm,20pF,,CRYSTAL_HC49US_ABLS,HC-49/US,,,,https://abracon.com/Resonators/abls.pdf,CRYSTAL 4.9152MHZ 20PF SMD,Surface Mount,0.165 (4.20mm),0.449 L x 0.185 W (11.40mm x 4.70mm),,-20°C ~ 70°C,,Abracon LLC,,,
Crystal,ABLS-24.000MHZ-12-B-4-Y-T,oscillators\Crystal,24MHz,MHz Crystal,40 Ohms,24MHz,±30ppm,±30ppm,12pF,,CRYSTAL_HC49US_ABLS,HC-49/US,,,,https://abracon.com/Resonators/abls.pdf,CRYSTAL 24.0000MHZ 12PF SMD,Surface Mount,0.165 (4.20mm),0.449 L x 0.185 W (11.40mm x 4.70mm),,-20°C ~ 70°C,,Abracon LLC,,,
Crystal,ABLS-11.0592MHZ-32-B-4-Y-T,oscillators\Crystal,11.0592MHz,MHz Crystal,50 Ohms,11.0592MHz,±30ppm,±30ppm,32pF,,CRYSTAL_HC49US_ABLS,HC-49/US,,,,https://abracon.com/Resonators/abls.pdf,CRYSTAL 11.0592MHZ 32PF SMD,Surface Mount,0.165 (4.20mm),0.449 L x 0.185 W (11.40mm x 4.70mm),,-20°C ~ 70°C,,Abracon LLC,,,
Crystal,ABLS-12.000MHZ-B4H-T,oscillators\Crystal,12MHz,MHz Crystal,50 Ohms,12MHz,±35ppm,±30ppm,18pF,,CRYSTAL_HC49US_ABLS,HC-49/US,,,,https://abracon.com/Resonators/abls.pdf,CRYSTAL 12.0000MHZ 18PF SMD,Surface Mount,0.165 (4.20mm),0.449 L x 0.185 W (11.40mm x 4.70mm),,-20°C ~ 70°C,,Abracon LLC,,,
Crystal,ABLS-3.6864MHZ-20-B-4-Y-T,oscillators\Crystal,3.6864MHz,MHz Crystal,180 Ohms,3.6864MHz,±30ppm,±30ppm,20pF,,CRYSTAL_HC49US_ABLS,HC-49/US,,,,https://abracon.com/Resonators/abls.pdf,CRYSTAL 3.6864MHZ 20PF SMD,Surface Mount,0.165 (4.20mm),0.449 L x 0.185 W (11.40mm x 4.70mm),,-20°C ~ 70°C,,Abracon LLC,,,
Crystal,ABLS-16.9344MHZ-B4-T,oscillators\Crystal,16.9344MHz,MHz Crystal,40 Ohms,16.9344MHz,±50ppm,±30ppm,18pF,,CRYSTAL_HC49US_ABLS,HC-49/US,,,,https://abracon.com/Resonators/abls.pdf,CRYSTAL 16.9344MHZ 18PF SMD,Surface Mount,0.165 (4.20mm),0.449 L x 0.185 W (11.40mm x 4.70mm),,-20°C ~ 70°C,,Abracon LLC,,,
Crystal,ABLS-6.000MHZ-20-B-4-Y-T,oscillators\Crystal,6MHz,MHz Crystal,100 Ohms,6MHz,±30ppm,±30ppm,20pF,,CRYSTAL_HC49US_ABLS,HC-49/US,,,,https://abracon.com/Resonators/abls.pdf,CRYSTAL 6.0000MHZ 20PF SMD,Surface Mount,0.165 (4.20mm),0.449 L x 0.185 W (11.40mm x 4.70mm),,-20°C ~ 70°C,,Abracon LLC,,,
Crystal,ABLS-4.096MHZ-20-B-4-Y-T,oscillators\Crystal,4.096MHz,MHz Crystal,180 Ohms,4.096MHz,±30ppm,±30ppm,20pF,,CRYSTAL_HC49US_ABLS,HC-49/US,,,,https://abracon.com/Resonators/abls.pdf,CRYSTAL 4.0960MHZ 20PF SMD,Surface Mount,0.165 (4.20mm),0.449 L x 0.185 W (11.40mm x 4.70mm),,-20°C ~ 70°C,,Abracon LLC,,,
Crystal,ABLS-4.000MHZ-B4H-T,oscillators\Crystal,4MHz,MHz Crystal,180 Ohms,4MHz,±35ppm,±30ppm,18pF,,CRYSTAL_HC49US_ABLS,HC-49/US,,,,https://abracon.com/Resonators/abls.pdf,CRYSTAL 4.0000MHZ 18PF SMD,Surface Mount,0.165 (4.20mm),0.449 L x 0.185 W (11.40mm x 4.70mm),,-20°C ~ 70°C,,Abracon LLC,,,
Crystal,ABLS-24.576MHZ-20-B-4-Y-F-T,oscillators\Crystal,24.576MHz,MHz Crystal,40 Ohms,24.576MHz,±30ppm,±30ppm,20pF,,CRYSTAL_HC49US_ABLS,HC-49/US,,,,https://abracon.com/Resonators/abls.pdf,CRYSTAL 24.5760MHZ 20PF SMD,Surface Mount,0.165 (4.20mm),0.449 L x 0.185 W (11.40mm x 4.70mm),,-20°C ~ 70°C,,Abracon LLC,,,
Crystal,ABLS-3.579545MHZ-17-B-4-Y-T,oscillators\Crystal,3.579545MHz,MHz Crystal,180 Ohms,3.579545MHz,±30ppm,±30ppm,17pF,,CRYSTAL_HC49US_ABLS,HC-49/US,,,,https://abracon.com/Resonators/abls.pdf,CRYSTAL 3.579545MHZ 17PF SMD,Surface Mount,0.165 (4.20mm),0.449 L x 0.185 W (11.40mm x 4.70mm),,-20°C ~ 70°C,,Abracon LLC,,,
Crystal,ABLS-6.000MHZ-32-B-4-Y-T,oscillators\Crystal,6MHz,MHz Crystal,100 Ohms,6MHz,±30ppm,±30ppm,32pF,,CRYSTAL_HC49US_ABLS,HC-49/US,,,,https://abracon.com/Resonators/abls.pdf,CRYSTAL 6.0000MHZ 32PF SMD,Surface Mount,0.165 (4.20mm),0.449 L x 0.185 W (11.40mm x 4.70mm),,-20°C ~ 70°C,,Abracon LLC,,,
Crystal,ABLS-20.000MHZ-16-B-4-Y-T,oscillators\Crystal,20MHz,MHz Crystal,40 Ohms,20MHz,±30ppm,±30ppm,16pF,,CRYSTAL_HC49US_ABLS,HC-49/US,,,,https://abracon.com/Resonators/abls.pdf,CRYSTAL 20.0000MHZ 16PF SMD,Surface Mount,0.165 (4.20mm),0.449 L x 0.185 W (11.40mm x 4.70mm),,-20°C ~ 70°C,,Abracon LLC,,,
Crystal,ABLS-4.9152MHZ-D-4-Y-T,oscillators\Crystal,4.9152MHz,MHz Crystal,180 Ohms,4.9152MHz,±30ppm,±30ppm,18pF,,CRYSTAL_HC49US_ABLS,HC-49/US,,,,https://abracon.com/Resonators/abls.pdf,CRYSTAL 4.9152MHZ 18PF SMD,Surface Mount,0.165 (4.20mm),0.449 L x 0.185 W (11.40mm x 4.70mm),,-40°C ~ 85°C,,Abracon LLC,,,
Crystal,ABLS-24.000MHZ-20-B-4-Y-T,oscillators\Crystal,24MHz,MHz Crystal,40 Ohms,24MHz,±30ppm,±30ppm,20pF,,CRYSTAL_HC49US_ABLS,HC-49/US,,,,https://abracon.com/Resonators/abls.pdf,CRYSTAL 24.0000MHZ 20PF SMD,Surface Mount,0.165 (4.20mm),0.449 L x 0.185 W (11.40mm x 4.70mm),,-20°C ~ 70°C,,Abracon LLC,,,
Crystal,ABLS-7.3728MHZ-20-B-4-Y-T,oscillators\Crystal,7.3728MHz,MHz Crystal,100 Ohms,7.3728MHz,±30ppm,±30ppm,20pF,,CRYSTAL_HC49US_ABLS,HC-49/US,,,,https://abracon.com/Resonators/abls.pdf,CRYSTAL 7.3728MHZ 20PF SMD,Surface Mount,0.165 (4.20mm),0.449 L x 0.185 W (11.40mm x 4.70mm),,-20°C ~ 70°C,,Abracon LLC,,,
Crystal,ABLS-9.216MHZ-20-B-4-Y-T,oscillators\Crystal,9.216MHz,MHz Crystal,60 Ohms,9.216MHz,±30ppm,±30ppm,20pF,,CRYSTAL_HC49US_ABLS,HC-49/US,,,,https://abracon.com/Resonators/abls.pdf,CRYSTAL 9.2160MHZ 20PF SMD,Surface Mount,0.165 (4.20mm),0.449 L x 0.185 W (11.40mm x 4.70mm),,-20°C ~ 70°C,,Abracon LLC,,,
Crystal,ABLS-24.576MHZ-20-B-3-H-F-T,oscillators\Crystal,24.576MHz,MHz Crystal,40 Ohms,24.576MHz,±35ppm,±25ppm,20pF,,CRYSTAL_HC49US_ABLS,HC-49/US,,,,https://abracon.com/Resonators/abls.pdf,CRYSTAL 24.5760MHZ 20PF SMD,Surface Mount,0.165 (4.20mm),0.449 L x 0.185 W (11.40mm x 4.70mm),,-20°C ~ 70°C,,Abracon LLC,,,
Crystal,ABLS-8.000MHZ-20-B-3-H-T,oscillators\Crystal,8MHz,MHz Crystal,80 Ohms,8MHz,±35ppm,±25ppm,20pF,,CRYSTAL_HC49US_ABLS,HC-49/US,,,,https://abracon.com/Resonators/abls.pdf,CRYSTAL 8.0000MHZ 20PF SMD,Surface Mount,0.165 (4.20mm),0.449 L x 0.185 W (11.40mm x 4.70mm),,-20°C ~ 70°C,,Abracon LLC,,,
Crystal,ABLS-8.000MHZ-16-A-4-H-T,oscillators\Crystal,8MHz,MHz Crystal,80 Ohms,8MHz,±35ppm,±30ppm,16pF,,CRYSTAL_HC49US_ABLS,HC-49/US,,,,https://abracon.com/Resonators/abls.pdf,CRYSTAL 8.0000MHZ 16PF SMD,Surface Mount,0.165 (4.20mm),0.449 L x 0.185 W (11.40mm x 4.70mm),,-10°C ~ 60°C,,Abracon LLC,,,
Crystal,ABLS-20.000MHZ-B-4-Y-T,oscillators\Crystal,20MHz,MHz Crystal,40 Ohms,20MHz,±30ppm,±30ppm,18pF,,CRYSTAL_HC49US_ABLS,HC-49/US,,,,https://abracon.com/Resonators/abls.pdf,CRYSTAL 20.0000MHZ 18PF SMD,Surface Mount,0.165 (4.20mm),0.449 L x 0.185 W (11.40mm x 4.70mm),,-20°C ~ 70°C,,Abracon LLC,,,
